Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0049 (±0.0004),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v3,0.0035 (±0.0002),0.0000 (±0.0000),0.0041 (±0.0000)
lfr-n120-mu3,Leiden,0.0034 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v3,0.0026 (±0.0001),0.3654 (±0.0000),0.5700 (±0.0000)
lfr-n120-mu5,Leiden,0.0042 (±0.0002),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v3,0.0029 (±0.0004),0.0546 (±0.0719),0.0293 (±0.0288)
lfr-n500-mu1,Leiden,0.0166 (±0.0006),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v3,0.0102 (±0.0005),0.5114 (±0.0000),0.8474 (±0.0000)
lfr-n500-mu3,Leiden,0.0199 (±0.0007),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v3,0.0119 (±0.0006),0.1948 (±0.0701),0.4231 (±0.1013)
lfr-n500-mu5,Leiden,0.0245 (±0.0013),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v3,0.0124 (±0.0015),0.1864 (±0.1080),0.1611 (±0.0801)
lfr-n1000-mu1,Leiden,0.0307 (±0.0029),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v3,0.0245 (±0.0121),0.7318 (±0.0000),0.8811 (±0.0000)
lfr-n1000-mu3,Leiden,0.0344 (±0.0005),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v3,0.0200 (±0.0010),0.5210 (±0.0068),0.6840 (±0.0218)
lfr-n1000-mu5,Leiden,0.0514 (±0.0032),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v3,0.0299 (±0.0032),0.1902 (±0.1154),0.2026 (±0.0987)
lfr-n5000-mu1,Leiden,0.1855 (±0.0056),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v3,0.1006 (±0.0198),0.7873 (±0.0010),0.9195 (±0.0041)
lfr-n5000-mu3,Leiden,0.2484 (±0.0093),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v3,0.1342 (±0.0156),0.5508 (±0.0017),0.8399 (±0.0077)
lfr-n5000-mu5,Leiden,0.3158 (±0.0104),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v3,0.1630 (±0.0124),0.3030 (±0.0049),0.2839 (±0.0108)
lfr-n10000-mu1,Leiden,0.3010 (±0.5081),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v3,0.2728 (±0.0220),0.7788 (±0.0002),0.9468 (±0.0013)
lfr-n10000-mu3,Leiden,0.5159 (±0.0061),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v3,0.2568 (±0.0089),0.5780 (±0.0011),0.7546 (±0.0051)
lfr-n10000-mu5,Leiden,0.7344 (±0.0323),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v3,0.4188 (±0.0352),0.2227 (±0.0707),0.2232 (±0.0392)
