Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v1,0.061,0.7299,0.8738
lfr-n1000-mu1,0,Leiden,0.0299,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v1,0.0129,0.7299,0.8738
lfr-n1000-mu1,1,Leiden,0.029,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v1,0.0128,0.7299,0.8738
lfr-n1000-mu1,2,Leiden,0.0288,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v1,0.0128,0.7299,0.8738
lfr-n1000-mu1,3,Leiden,0.0315,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v1,0.013,0.7299,0.8738
lfr-n1000-mu1,4,Leiden,0.0299,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v1,0.013,0.7299,0.8738
lfr-n1000-mu1,5,Leiden,0.0302,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v1,0.013,0.7299,0.8738
lfr-n1000-mu1,6,Leiden,0.0301,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v1,0.0128,0.7299,0.8738
lfr-n1000-mu1,7,Leiden,0.0308,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v1,0.0128,0.7299,0.8738
lfr-n1000-mu1,8,Leiden,0.0294,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v1,0.0128,0.7299,0.8738
lfr-n1000-mu1,9,Leiden,0.0295,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v1,0.0158,0.5063,0.6197
lfr-n1000-mu3,0,Leiden,0.0359,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v1,0.0201,0.4958,0.5934
lfr-n1000-mu3,1,Leiden,0.0466,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v1,0.0231,0.5003,0.6169
lfr-n1000-mu3,2,Leiden,0.0366,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v1,0.0144,0.4969,0.6218
lfr-n1000-mu3,3,Leiden,0.0348,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v1,0.0156,0.5022,0.6413
lfr-n1000-mu3,4,Leiden,0.0355,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v1,0.0139,0.5012,0.6459
lfr-n1000-mu3,5,Leiden,0.0348,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v1,0.0124,0.5014,0.6124
lfr-n1000-mu3,6,Leiden,0.0362,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v1,0.0146,0.5033,0.6465
lfr-n1000-mu3,7,Leiden,0.0346,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v1,0.0139,0.5073,0.65
lfr-n1000-mu3,8,Leiden,0.0347,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v1,0.0141,0.4962,0.5988
lfr-n1000-mu3,9,Leiden,0.0339,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-v1,0.019,0.2881,0.302
lfr-n1000-mu5,0,Leiden,0.049,0.3352,0.4069
lfr-n1000-mu5,1,Leiden-LPA-v1,0.0232,0.288,0.2674
lfr-n1000-mu5,1,Leiden,0.0536,0.3282,0.3919
lfr-n1000-mu5,2,Leiden-LPA-v1,0.0257,0.1259,0.2139
lfr-n1000-mu5,2,Leiden,0.0496,0.3271,0.3818
lfr-n1000-mu5,3,Leiden-LPA-v1,0.0185,0.2828,0.2608
lfr-n1000-mu5,3,Leiden,0.0522,0.332,0.4106
lfr-n1000-mu5,4,Leiden-LPA-v1,0.0175,0.278,0.2421
lfr-n1000-mu5,4,Leiden,0.0502,0.3278,0.3838
lfr-n1000-mu5,5,Leiden-LPA-v1,0.0257,0.2222,0.2028
lfr-n1000-mu5,5,Leiden,0.0493,0.3292,0.3841
lfr-n1000-mu5,6,Leiden-LPA-v1,0.0186,0.2835,0.2649
lfr-n1000-mu5,6,Leiden,0.0561,0.3248,0.3743
lfr-n1000-mu5,7,Leiden-LPA-v1,0.025,0.1557,0.229
lfr-n1000-mu5,7,Leiden,0.05,0.3343,0.4077
lfr-n1000-mu5,8,Leiden-LPA-v1,0.0204,0.2738,0.2741
lfr-n1000-mu5,8,Leiden,0.0545,0.318,0.3224
lfr-n1000-mu5,9,Leiden-LPA-v1,0.0169,0.2913,0.2933
lfr-n1000-mu5,9,Leiden,0.0517,0.3334,0.3696
lfr-n10000-mu1,0,Leiden-LPA-v1,0.1833,0.7734,0.9354
lfr-n10000-mu1,0,Leiden,0.4718,0.7823,0.9852
lfr-n10000-mu1,1,Leiden-LPA-v1,0.1792,0.7737,0.9356
lfr-n10000-mu1,1,Leiden,0.4916,0.7823,0.985
lfr-n10000-mu1,2,Leiden-LPA-v1,0.2251,0.773,0.9345
lfr-n10000-mu1,2,Leiden,0.4761,0.7823,0.9841
lfr-n10000-mu1,3,Leiden-LPA-v1,0.1793,0.7732,0.9352
lfr-n10000-mu1,3,Leiden,0.4602,0.7823,0.9842
lfr-n10000-mu1,4,Leiden-LPA-v1,0.1724,0.7739,0.9396
lfr-n10000-mu1,4,Leiden,0.4453,0.7823,0.9866
lfr-n10000-mu1,5,Leiden-LPA-v1,0.1702,0.7734,0.9387
lfr-n10000-mu1,5,Leiden,0.4501,0.7823,0.9844
lfr-n10000-mu1,6,Leiden-LPA-v1,0.1719,0.7741,0.9397
lfr-n10000-mu1,6,Leiden,0.4652,0.7823,0.9854
lfr-n10000-mu1,7,Leiden-LPA-v1,0.1747,0.7736,0.9395
lfr-n10000-mu1,7,Leiden,0.4584,0.7823,0.9853
lfr-n10000-mu1,8,Leiden-LPA-v1,0.1869,0.7734,0.9356
lfr-n10000-mu1,8,Leiden,0.4483,0.7823,0.9835
lfr-n10000-mu1,9,Leiden-LPA-v1,0.1724,0.773,0.9314
lfr-n10000-mu1,9,Leiden,0.4821,0.7823,0.9844
lfr-n10000-mu3,0,Leiden-LPA-v1,0.2206,0.5515,0.7136
lfr-n10000-mu3,0,Leiden,0.5195,0.6074,0.8944
lfr-n10000-mu3,1,Leiden-LPA-v1,0.1949,0.5536,0.721
lfr-n10000-mu3,1,Leiden,0.529,0.6081,0.9061
lfr-n10000-mu3,2,Leiden-LPA-v1,0.2031,0.5506,0.712
lfr-n10000-mu3,2,Leiden,0.5232,0.6085,0.9067
lfr-n10000-mu3,3,Leiden-LPA-v1,0.1886,0.5523,0.7185
lfr-n10000-mu3,3,Leiden,0.5248,0.6081,0.9026
lfr-n10000-mu3,4,Leiden-LPA-v1,0.185,0.5608,0.7378
lfr-n10000-mu3,4,Leiden,0.5072,0.6082,0.8968
lfr-n10000-mu3,5,Leiden-LPA-v1,0.1864,0.5526,0.7084
lfr-n10000-mu3,5,Leiden,0.5287,0.6082,0.9043
lfr-n10000-mu3,6,Leiden-LPA-v1,0.2365,0.5553,0.7166
lfr-n10000-mu3,6,Leiden,0.5321,0.6084,0.9051
lfr-n10000-mu3,7,Leiden-LPA-v1,0.2228,0.5529,0.7084
lfr-n10000-mu3,7,Leiden,0.5173,0.6081,0.9038
lfr-n10000-mu3,8,Leiden-LPA-v1,0.1859,0.5508,0.7077
lfr-n10000-mu3,8,Leiden,0.5128,0.6083,0.9077
lfr-n10000-mu3,9,Leiden-LPA-v1,0.2175,0.557,0.7222
lfr-n10000-mu3,9,Leiden,0.5314,0.6082,0.9012
lfr-n10000-mu5,0,Leiden-LPA-v1,0.31,0.1987,0.2175
lfr-n10000-mu5,0,Leiden,0.7084,0.3248,0.2927
lfr-n10000-mu5,1,Leiden-LPA-v1,0.3176,0.2795,0.2418
lfr-n10000-mu5,1,Leiden,0.739,0.3191,0.2601
lfr-n10000-mu5,2,Leiden-LPA-v1,0.3099,0.2921,0.2594
lfr-n10000-mu5,2,Leiden,0.7287,0.3286,0.3191
lfr-n10000-mu5,3,Leiden-LPA-v1,0.401,0.2828,0.2635
lfr-n10000-mu5,3,Leiden,0.7328,0.3177,0.2716
lfr-n10000-mu5,4,Leiden-LPA-v1,0.3285,0.2827,0.2551
lfr-n10000-mu5,4,Leiden,0.7751,0.3324,0.3437
lfr-n10000-mu5,5,Leiden-LPA-v1,0.3123,0.136,0.1833
lfr-n10000-mu5,5,Leiden,0.7877,0.3235,0.2772
lfr-n10000-mu5,6,Leiden-LPA-v1,0.287,0.2943,0.2574
lfr-n10000-mu5,6,Leiden,0.7387,0.3248,0.2972
lfr-n10000-mu5,7,Leiden-LPA-v1,0.321,0.2355,0.2454
lfr-n10000-mu5,7,Leiden,0.7271,0.3279,0.3075
lfr-n10000-mu5,8,Leiden-LPA-v1,0.3447,0.2775,0.2545
lfr-n10000-mu5,8,Leiden,0.7266,0.3294,0.3106
lfr-n10000-mu5,9,Leiden-LPA-v1,0.3321,0.2975,0.2657
lfr-n10000-mu5,9,Leiden,0.7312,0.3266,0.3094
lfr-n120-mu1,0,Leiden-LPA-v1,0.0021,0.0456,0.154
lfr-n120-mu1,0,Leiden,0.0051,0.2492,0.1857
lfr-n120-mu1,1,Leiden-LPA-v1,0.0021,0.1093,0.154
lfr-n120-mu1,1,Leiden,0.005,0.2472,0.1493
lfr-n120-mu1,2,Leiden-LPA-v1,0.0018,0.045,0.1634
lfr-n120-mu1,2,Leiden,0.0049,0.2556,0.1658
lfr-n120-mu1,3,Leiden-LPA-v1,0.0022,0.0443,0.1484
lfr-n120-mu1,3,Leiden,0.0048,0.2562,0.1872
lfr-n120-mu1,4,Leiden-LPA-v1,0.0017,0.045,0.1634
lfr-n120-mu1,4,Leiden,0.0045,0.2461,0.1923
lfr-n120-mu1,5,Leiden-LPA-v1,0.0018,0.045,0.1634
lfr-n120-mu1,5,Leiden,0.0049,0.2424,0.1606
lfr-n120-mu1,6,Leiden-LPA-v1,0.0018,0.045,0.1634
lfr-n120-mu1,6,Leiden,0.0049,0.2528,0.1555
lfr-n120-mu1,7,Leiden-LPA-v1,0.0021,0.0456,0.154
lfr-n120-mu1,7,Leiden,0.0052,0.2521,0.1552
lfr-n120-mu1,8,Leiden-LPA-v1,0.0021,0.1093,0.154
lfr-n120-mu1,8,Leiden,0.0049,0.2381,0.1912
lfr-n120-mu1,9,Leiden-LPA-v1,0.0017,0.045,0.1634
lfr-n120-mu1,9,Leiden,0.0046,0.2495,0.1607
lfr-n120-mu3,0,Leiden-LPA-v1,0.0017,0.4024,0.582
lfr-n120-mu3,0,Leiden,0.0038,0.4756,0.842
lfr-n120-mu3,1,Leiden-LPA-v1,0.0017,0.4024,0.582
lfr-n120-mu3,1,Leiden,0.0034,0.4754,0.8717
lfr-n120-mu3,2,Leiden-LPA-v1,0.0018,0.4024,0.582
lfr-n120-mu3,2,Leiden,0.004,0.4767,0.8455
lfr-n120-mu3,3,Leiden-LPA-v1,0.0021,0.4024,0.582
lfr-n120-mu3,3,Leiden,0.0036,0.4756,0.842
lfr-n120-mu3,4,Leiden-LPA-v1,0.0017,0.4024,0.582
lfr-n120-mu3,4,Leiden,0.0035,0.4756,0.842
lfr-n120-mu3,5,Leiden-LPA-v1,0.0019,0.4024,0.582
lfr-n120-mu3,5,Leiden,0.0035,0.4767,0.8455
lfr-n120-mu3,6,Leiden-LPA-v1,0.0018,0.4024,0.582
lfr-n120-mu3,6,Leiden,0.0037,0.4756,0.842
lfr-n120-mu3,7,Leiden-LPA-v1,0.0017,0.4024,0.582
lfr-n120-mu3,7,Leiden,0.0036,0.4757,0.8663
lfr-n120-mu3,8,Leiden-LPA-v1,0.0017,0.4024,0.582
lfr-n120-mu3,8,Leiden,0.004,0.4756,0.842
lfr-n120-mu3,9,Leiden-LPA-v1,0.0017,0.4024,0.582
lfr-n120-mu3,9,Leiden,0.0037,0.4757,0.8663
lfr-n120-mu5,0,Leiden-LPA-v1,0.0022,0.0413,0.1708
lfr-n120-mu5,0,Leiden,0.0047,0.282,0.2132
lfr-n120-mu5,1,Leiden-LPA-v1,0.0025,0.1028,0.2213
