Graph,Core Ratio,Time (s),Modularity,NMI
lfr-n5000-mu1,0.2,0.0755 (±0.0085),0.7819 (±0.0008),0.9051 (±0.0046)
lfr-n5000-mu1,0.4,0.1036 (±0.0023),0.7913 (±0.0004),0.9455 (±0.0024)
lfr-n5000-mu1,0.6,0.1550 (±0.0209),0.7941 (±0.0002),0.9655 (±0.0020)
lfr-n5000-mu1,0.8,0.2059 (±0.0240),0.7951 (±0.0001),0.9762 (±0.0010)
lfr-n5000-mu1,1.0,0.1882 (±0.0033),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu3,0.2,0.0946 (±0.0059),0.5328 (±0.0034),0.8065 (±0.0116)
lfr-n5000-mu3,0.4,0.1458 (±0.0232),0.5512 (±0.0014),0.8695 (±0.0069)
lfr-n5000-mu3,0.6,0.1967 (±0.0231),0.5595 (±0.0015),0.9095 (±0.0074)
lfr-n5000-mu3,0.8,0.2562 (±0.0240),0.5644 (±0.0008),0.9324 (±0.0026)
lfr-n5000-mu3,1.0,0.2457 (±0.0052),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu5,0.2,0.1220 (±0.0112),0.2893 (±0.0351),0.2631 (±0.0241)
lfr-n5000-mu5,0.4,0.1688 (±0.0093),0.3073 (±0.0052),0.3160 (±0.0135)
lfr-n5000-mu5,0.6,0.1052 (±0.4197),0.3136 (±0.0040),0.3192 (±0.0139)
lfr-n5000-mu5,0.8,0.3313 (±0.0319),0.3212 (±0.0050),0.3320 (±0.0255)
lfr-n5000-mu5,1.0,0.3212 (±0.0114),0.3277 (±0.0033),0.3320 (±0.0219)
