Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v7,0.051,0.7286,0.8663
lfr-n1000-mu1,0,Leiden,0.0259,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v7,0.0166,0.7286,0.8663
lfr-n1000-mu1,1,Leiden,0.0257,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v7,0.0165,0.7286,0.8663
lfr-n1000-mu1,2,Leiden,0.025,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v7,0.0166,0.7286,0.8663
lfr-n1000-mu1,3,Leiden,0.0274,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v7,0.0164,0.7286,0.8663
lfr-n1000-mu1,4,Leiden,0.026,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v7,0.0163,0.7286,0.8663
lfr-n1000-mu1,5,Leiden,0.0259,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v7,0.0171,0.7286,0.8663
lfr-n1000-mu1,6,Leiden,0.0264,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v7,0.0164,0.7286,0.8663
lfr-n1000-mu1,7,Leiden,0.0261,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v7,0.0164,0.7286,0.8663
lfr-n1000-mu1,8,Leiden,0.0258,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v7,0.0169,0.7286,0.8663
lfr-n1000-mu1,9,Leiden,0.0258,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v7,0.017,0.4512,0.5348
lfr-n1000-mu3,0,Leiden,0.0308,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v7,0.016,0.4605,0.5388
lfr-n1000-mu3,1,Leiden,0.0315,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v7,0.0165,0.4496,0.531
lfr-n1000-mu3,2,Leiden,0.0322,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v7,0.016,0.4583,0.5401
lfr-n1000-mu3,3,Leiden,0.0306,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v7,0.016,0.4605,0.5618
lfr-n1000-mu3,4,Leiden,0.0316,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v7,0.016,0.4415,0.5246
lfr-n1000-mu3,5,Leiden,0.0309,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v7,0.0162,0.4584,0.5534
lfr-n1000-mu3,6,Leiden,0.0313,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v7,0.0162,0.4545,0.5478
lfr-n1000-mu3,7,Leiden,0.0307,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v7,0.016,0.4632,0.5743
lfr-n1000-mu3,8,Leiden,0.0308,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v7,0.0186,0.4485,0.5209
lfr-n1000-mu3,9,Leiden,0.0365,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-v7,0.0216,0.2489,0.286
lfr-n1000-mu5,0,Leiden,0.0428,0.3352,0.4069
lfr-n1000-mu5,1,Leiden-LPA-v7,0.021,0.2499,0.3054
lfr-n1000-mu5,1,Leiden,0.0463,0.3282,0.3919
lfr-n1000-mu5,2,Leiden-LPA-v7,0.0207,0.2547,0.293
lfr-n1000-mu5,2,Leiden,0.0442,0.3271,0.3818
lfr-n1000-mu5,3,Leiden-LPA-v7,0.0204,0.2444,0.2584
lfr-n1000-mu5,3,Leiden,0.0457,0.332,0.4106
lfr-n1000-mu5,4,Leiden-LPA-v7,0.0202,0.2556,0.2929
lfr-n1000-mu5,4,Leiden,0.0448,0.3278,0.3838
lfr-n1000-mu5,5,Leiden-LPA-v7,0.0232,0.245,0.2831
lfr-n1000-mu5,5,Leiden,0.0499,0.3292,0.3841
lfr-n1000-mu5,6,Leiden-LPA-v7,0.0262,0.2497,0.3019
lfr-n1000-mu5,6,Leiden,0.0501,0.3248,0.3743
lfr-n1000-mu5,7,Leiden-LPA-v7,0.021,0.2498,0.2828
lfr-n1000-mu5,7,Leiden,0.0446,0.3343,0.4077
lfr-n1000-mu5,8,Leiden-LPA-v7,0.023,0.2515,0.3044
lfr-n1000-mu5,8,Leiden,0.0484,0.318,0.3224
lfr-n1000-mu5,9,Leiden-LPA-v7,0.0207,0.245,0.2629
lfr-n1000-mu5,9,Leiden,0.0458,0.3334,0.3696
lfr-n10000-mu1,0,Leiden-LPA-v7,0.2253,0.7475,0.8926
lfr-n10000-mu1,0,Leiden,0.4136,0.7823,0.9852
lfr-n10000-mu1,1,Leiden-LPA-v7,0.2393,0.7473,0.8925
lfr-n10000-mu1,1,Leiden,0.4248,0.7823,0.985
lfr-n10000-mu1,2,Leiden-LPA-v7,0.211,0.7472,0.8912
lfr-n10000-mu1,2,Leiden,0.4186,0.7823,0.9841
lfr-n10000-mu1,3,Leiden-LPA-v7,0.2327,0.7478,0.895
lfr-n10000-mu1,3,Leiden,0.4048,0.7823,0.9842
lfr-n10000-mu1,4,Leiden-LPA-v7,0.2403,0.7473,0.8925
lfr-n10000-mu1,4,Leiden,0.4233,0.7823,0.9866
lfr-n10000-mu1,5,Leiden-LPA-v7,0.2331,0.7475,0.892
lfr-n10000-mu1,5,Leiden,0.4168,0.7823,0.9844
lfr-n10000-mu1,6,Leiden-LPA-v7,0.2955,0.7476,0.8929
lfr-n10000-mu1,6,Leiden,0.4549,0.7823,0.9854
lfr-n10000-mu1,7,Leiden-LPA-v7,0.2241,0.7472,0.8919
lfr-n10000-mu1,7,Leiden,0.4565,0.7823,0.9853
lfr-n10000-mu1,8,Leiden-LPA-v7,0.2768,0.7476,0.8929
lfr-n10000-mu1,8,Leiden,0.4219,0.7823,0.9835
lfr-n10000-mu1,9,Leiden-LPA-v7,2.073,0.7472,0.8919
lfr-n10000-mu1,9,Leiden,0.4514,0.7823,0.9844
lfr-n10000-mu3,0,Leiden-LPA-v7,0.2667,0.5144,0.6175
lfr-n10000-mu3,0,Leiden,0.4795,0.6074,0.8944
lfr-n10000-mu3,1,Leiden-LPA-v7,0.233,0.5164,0.6306
lfr-n10000-mu3,1,Leiden,0.478,0.6081,0.9061
lfr-n10000-mu3,2,Leiden-LPA-v7,0.2464,0.5152,0.631
lfr-n10000-mu3,2,Leiden,0.4802,0.6085,0.9067
lfr-n10000-mu3,3,Leiden-LPA-v7,0.2449,0.5137,0.6225
lfr-n10000-mu3,3,Leiden,0.4837,0.6081,0.9026
lfr-n10000-mu3,4,Leiden-LPA-v7,0.2392,0.5143,0.6238
lfr-n10000-mu3,4,Leiden,0.4672,0.6082,0.8968
lfr-n10000-mu3,5,Leiden-LPA-v7,0.2682,0.511,0.6218
lfr-n10000-mu3,5,Leiden,0.4777,0.6082,0.9043
lfr-n10000-mu3,6,Leiden-LPA-v7,0.2458,0.5151,0.6322
lfr-n10000-mu3,6,Leiden,0.5143,0.6084,0.9051
lfr-n10000-mu3,7,Leiden-LPA-v7,0.2464,0.5131,0.6175
lfr-n10000-mu3,7,Leiden,0.5029,0.6081,0.9038
lfr-n10000-mu3,8,Leiden-LPA-v7,0.254,0.5135,0.6247
lfr-n10000-mu3,8,Leiden,0.476,0.6083,0.9077
lfr-n10000-mu3,9,Leiden-LPA-v7,0.2516,0.5132,0.6183
lfr-n10000-mu3,9,Leiden,0.4794,0.6082,0.9012
lfr-n10000-mu5,0,Leiden-LPA-v7,0.2797,0.2218,0.2444
lfr-n10000-mu5,0,Leiden,0.6328,0.3248,0.2927
lfr-n10000-mu5,1,Leiden-LPA-v7,0.3048,0.2253,0.229
lfr-n10000-mu5,1,Leiden,0.6657,0.3191,0.2601
lfr-n10000-mu5,2,Leiden-LPA-v7,0.3271,0.2264,0.2228
lfr-n10000-mu5,2,Leiden,0.6513,0.3286,0.3191
lfr-n10000-mu5,3,Leiden-LPA-v7,0.3258,0.2269,0.2253
lfr-n10000-mu5,3,Leiden,0.647,0.3177,0.2716
lfr-n10000-mu5,4,Leiden-LPA-v7,0.2966,0.2205,0.2192
lfr-n10000-mu5,4,Leiden,0.6561,0.3324,0.3437
lfr-n10000-mu5,5,Leiden-LPA-v7,0.315,0.2185,0.2162
lfr-n10000-mu5,5,Leiden,0.6839,0.3235,0.2772
lfr-n10000-mu5,6,Leiden-LPA-v7,0.2924,0.2204,0.2235
lfr-n10000-mu5,6,Leiden,0.6422,0.3248,0.2972
lfr-n10000-mu5,7,Leiden-LPA-v7,0.2979,0.227,0.2334
lfr-n10000-mu5,7,Leiden,0.6675,0.3279,0.3075
lfr-n10000-mu5,8,Leiden-LPA-v7,0.3231,0.2182,0.2191
lfr-n10000-mu5,8,Leiden,0.6461,0.3294,0.3106
lfr-n10000-mu5,9,Leiden-LPA-v7,0.3032,0.2228,0.2071
lfr-n10000-mu5,9,Leiden,0.6428,0.3266,0.3094
lfr-n120-mu1,0,Leiden-LPA-v7,0.0027,0.0,0.0
lfr-n120-mu1,0,Leiden,0.0047,0.2492,0.1857
lfr-n120-mu1,1,Leiden-LPA-v7,0.0025,0.0,0.0
lfr-n120-mu1,1,Leiden,0.0043,0.2472,0.1493
lfr-n120-mu1,2,Leiden-LPA-v7,0.0025,0.0,0.0
lfr-n120-mu1,2,Leiden,0.0042,0.2556,0.1658
lfr-n120-mu1,3,Leiden-LPA-v7,0.0023,0.0,0.0
lfr-n120-mu1,3,Leiden,0.0042,0.2562,0.1872
lfr-n120-mu1,4,Leiden-LPA-v7,0.0024,0.0,0.0
lfr-n120-mu1,4,Leiden,0.0038,0.2461,0.1923
lfr-n120-mu1,5,Leiden-LPA-v7,0.0022,0.0,0.0
lfr-n120-mu1,5,Leiden,0.0044,0.2424,0.1606
lfr-n120-mu1,6,Leiden-LPA-v7,0.0023,0.0,0.0
lfr-n120-mu1,6,Leiden,0.0041,0.2528,0.1555
lfr-n120-mu1,7,Leiden-LPA-v7,0.0025,0.0,0.0
lfr-n120-mu1,7,Leiden,0.0046,0.2521,0.1552
lfr-n120-mu1,8,Leiden-LPA-v7,0.0024,0.0,0.0
lfr-n120-mu1,8,Leiden,0.0042,0.2381,0.1912
lfr-n120-mu1,9,Leiden-LPA-v7,0.0023,0.0,0.0
lfr-n120-mu1,9,Leiden,0.004,0.2495,0.1607
lfr-n120-mu3,0,Leiden-LPA-v7,0.0025,0.222,0.4715
lfr-n120-mu3,0,Leiden,0.0032,0.4756,0.842
lfr-n120-mu3,1,Leiden-LPA-v7,0.0028,0.222,0.4715
lfr-n120-mu3,1,Leiden,0.0029,0.4754,0.8717
lfr-n120-mu3,2,Leiden-LPA-v7,0.0027,0.222,0.4715
lfr-n120-mu3,2,Leiden,0.003,0.4767,0.8455
lfr-n120-mu3,3,Leiden-LPA-v7,0.0026,0.222,0.4715
lfr-n120-mu3,3,Leiden,0.0031,0.4756,0.842
lfr-n120-mu3,4,Leiden-LPA-v7,0.0026,0.222,0.4715
lfr-n120-mu3,4,Leiden,0.003,0.4756,0.842
lfr-n120-mu3,5,Leiden-LPA-v7,0.0036,0.222,0.4715
lfr-n120-mu3,5,Leiden,0.0044,0.4767,0.8455
lfr-n120-mu3,6,Leiden-LPA-v7,0.0026,0.222,0.4715
lfr-n120-mu3,6,Leiden,0.003,0.4756,0.842
lfr-n120-mu3,7,Leiden-LPA-v7,0.0025,0.222,0.4715
lfr-n120-mu3,7,Leiden,0.003,0.4757,0.8663
lfr-n120-mu3,8,Leiden-LPA-v7,0.0025,0.222,0.4715
lfr-n120-mu3,8,Leiden,0.0031,0.4756,0.842
lfr-n120-mu3,9,Leiden-LPA-v7,0.0026,0.222,0.4715
lfr-n120-mu3,9,Leiden,0.003,0.4757,0.8663
lfr-n120-mu5,0,Leiden-LPA-v7,0.0025,0.0192,0.0201
lfr-n120-mu5,0,Leiden,0.004,0.282,0.2132
lfr-n120-mu5,1,Leiden-LPA-v7,0.0027,0.0135,0.0169
lfr-n120-mu5,1,Leiden,0.0038,0.2858,0.1554
lfr-n120-mu5,2,Leiden-LPA-v7,0.0024,0.0135,0.0169
lfr-n120-mu5,2,Leiden,0.0042,0.2855,0.1928
lfr-n120-mu5,3,Leiden-LPA-v7,0.0023,0.0135,0.0169
lfr-n120-mu5,3,Leiden,0.0039,0.2929,0.1926
lfr-n120-mu5,4,Leiden-LPA-v7,0.0023,0.0022,0.026
lfr-n120-mu5,4,Leiden,0.0037,0.2899,0.186
lfr-n120-mu5,5,Leiden-LPA-v7,0.0022,0.0022,0.026
lfr-n120-mu5,5,Leiden,0.0035,0.2938,0.1798
lfr-n120-mu5,6,Leiden-LPA-v7,0.0027,0.0069,0.0125
lfr-n120-mu5,6,Leiden,0.0037,0.2859,0.1878
lfr-n120-mu5,7,Leiden-LPA-v7,0.0022,0.006,0.0259
lfr-n120-mu5,7,Leiden,0.0036,0.2902,0.2111
lfr-n120-mu5,8,Leiden-LPA-v7,0.0025,0.0031,0.0071
lfr-n120-mu5,8,Leiden,0.0038,0.2901,0.1872
lfr-n120-mu5,9,Leiden-LPA-v7,0.0024,0.0031,0.0071
lfr-n120-mu5,9,Leiden,0.0035,0.2837,0.2096
lfr-n500-mu1,0,Leiden-LPA-v7,0.0088,0.4175,0.6028
lfr-n500-mu1,0,Leiden,0.0158,0.5335,0.9628
lfr-n500-mu1,1,Leiden-LPA-v7,0.0089,0.4186,0.5953
lfr-n500-mu1,1,Leiden,0.015,0.5335,0.9628
lfr-n500-mu1,2,Leiden-LPA-v7,0.0093,0.4186,0.5953
lfr-n500-mu1,2,Leiden,0.0138,0.5335,0.9628
lfr-n500-mu1,3,Leiden-LPA-v7,0.0086,0.4186,0.5953
lfr-n500-mu1,3,Leiden,0.0147,0.5335,0.9628
