Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0042 (±0.0002),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v9,0.0048 (±0.0002),0.1145 (±0.0436),0.1980 (±0.0245)
lfr-n120-mu3,Leiden,0.0030 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v9,0.0040 (±0.0000),0.3890 (±0.0000),0.5111 (±0.0000)
lfr-n120-mu5,Leiden,0.0038 (±0.0002),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v9,0.0048 (±0.0003),0.2179 (±0.0305),0.1875 (±0.0170)
lfr-n500-mu1,Leiden,0.0224 (±0.0237),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v9,0.0188 (±0.0007),0.5016 (±0.0045),0.8323 (±0.0033)
lfr-n500-mu3,Leiden,0.0168 (±0.0005),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v9,0.0195 (±0.0010),0.3371 (±0.0085),0.5491 (±0.0309)
lfr-n500-mu5,Leiden,0.0209 (±0.0011),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v9,0.0200 (±0.0008),0.2827 (±0.0087),0.2460 (±0.0184)
lfr-n1000-mu1,Leiden,0.0280 (±0.0010),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v9,0.0361 (±0.0133),0.7432 (±0.0006),0.9108 (±0.0025)
lfr-n1000-mu3,Leiden,0.0336 (±0.0013),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v9,0.0371 (±0.0032),0.5233 (±0.0028),0.7144 (±0.0122)
lfr-n1000-mu5,Leiden,0.0502 (±0.0035),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v9,0.0509 (±0.0052),0.2934 (±0.0077),0.3084 (±0.0189)
lfr-n5000-mu1,Leiden,0.1603 (±0.0036),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v9,0.1809 (±0.0218),0.7904 (±0.0002),0.9361 (±0.0033)
lfr-n5000-mu3,Leiden,0.2111 (±0.0070),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v9,0.2295 (±0.0111),0.5471 (±0.0006),0.8528 (±0.0040)
lfr-n5000-mu5,Leiden,0.2719 (±0.0079),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v9,0.2854 (±0.0176),0.3035 (±0.0032),0.2920 (±0.0104)
lfr-n10000-mu1,Leiden,0.4009 (±0.0108),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v9,0.4098 (±0.0296),0.7796 (±0.0001),0.9614 (±0.0011)
lfr-n10000-mu3,Leiden,0.4491 (±0.0149),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v9,0.4988 (±0.0330),0.5740 (±0.0018),0.7750 (±0.0073)
lfr-n10000-mu5,Leiden,0.8907 (±0.8270),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v9,0.6761 (±0.0495),0.2935 (±0.0057),0.2767 (±0.0135)
