Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0051 (±0.0003),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v1,0.0019 (±0.0003),0.0642 (±0.0464),0.1590 (±0.0226)
lfr-n120-mu3,Leiden,0.0035 (±0.0002),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v1,0.0017 (±0.0001),0.4003 (±0.0045),0.5797 (±0.0051)
lfr-n120-mu5,Leiden,0.0048 (±0.0009),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v1,0.0022 (±0.0005),0.1237 (±0.0676),0.1620 (±0.0515)
lfr-n500-mu1,Leiden,0.0168 (±0.0008),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v1,0.0073 (±0.0008),0.4346 (±0.0129),0.7430 (±0.0147)
lfr-n500-mu3,Leiden,0.0196 (±0.0006),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v1,0.0098 (±0.0016),0.2232 (±0.0515),0.3902 (±0.0614)
lfr-n500-mu5,Leiden,0.0247 (±0.0016),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v1,0.0102 (±0.0013),0.2294 (±0.0485),0.1989 (±0.0138)
lfr-n1000-mu1,Leiden,0.0309 (±0.0036),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v1,0.0134 (±0.0006),0.7296 (±0.0010),0.8725 (±0.0040)
lfr-n1000-mu3,Leiden,0.0352 (±0.0006),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v1,0.0148 (±0.0012),0.5045 (±0.0034),0.6407 (±0.0211)
lfr-n1000-mu5,Leiden,0.0510 (±0.0028),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v1,0.0221 (±0.0038),0.2209 (±0.0809),0.2518 (±0.0401)
lfr-n5000-mu1,Leiden,0.1883 (±0.0052),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v1,0.0721 (±0.0022),0.7817 (±0.0006),0.9046 (±0.0036)
lfr-n5000-mu3,Leiden,0.2482 (±0.0060),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v1,0.0974 (±0.0089),0.5343 (±0.0028),0.8119 (±0.0096)
lfr-n5000-mu5,Leiden,0.3235 (±0.0120),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v1,0.1329 (±0.0167),0.2987 (±0.0053),0.2709 (±0.0139)
lfr-n10000-mu1,Leiden,0.4741 (±0.0096),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v1,0.1954 (±0.0074),0.7735 (±0.0006),0.9352 (±0.0040)
lfr-n10000-mu3,Leiden,0.5394 (±0.0103),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v1,0.2241 (±0.0141),0.5527 (±0.0013),0.7103 (±0.0057)
lfr-n10000-mu5,Leiden,0.7431 (±0.0306),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v1,0.1928 (±0.4917),0.2519 (±0.0524),0.2421 (±0.0284)
