Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0049 (±0.0003),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v2,0.0021 (±0.0001),0.0053 (±0.0159),0.0194 (±0.0457)
lfr-n120-mu3,Leiden,0.0034 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v2,0.0019 (±0.0001),0.4054 (±0.0007),0.5876 (±0.0057)
lfr-n120-mu5,Leiden,0.0043 (±0.0002),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v2,0.0022 (±0.0003),0.0510 (±0.0598),0.0787 (±0.0872)
lfr-n500-mu1,Leiden,0.0168 (±0.0006),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v2,0.0079 (±0.0004),0.4922 (±0.0155),0.8131 (±0.0208)
lfr-n500-mu3,Leiden,0.0200 (±0.0007),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v2,0.0105 (±0.0014),0.1306 (±0.0841),0.2978 (±0.1179)
lfr-n500-mu5,Leiden,0.0248 (±0.0015),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v2,0.0118 (±0.0014),0.1189 (±0.1105),0.1160 (±0.0943)
lfr-n1000-mu1,Leiden,0.0292 (±0.0006),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v2,0.0182 (±0.0121),0.7340 (±0.0012),0.8762 (±0.0016)
lfr-n1000-mu3,Leiden,0.0349 (±0.0006),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v2,0.0158 (±0.0010),0.5158 (±0.0050),0.6620 (±0.0230)
lfr-n1000-mu5,Leiden,0.0518 (±0.0023),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v2,0.0245 (±0.0033),0.1592 (±0.1350),0.1693 (±0.1137)
lfr-n5000-mu1,Leiden,0.1902 (±0.0060),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v2,0.0872 (±0.0044),0.7858 (±0.0008),0.9069 (±0.0039)
lfr-n5000-mu3,Leiden,0.0981 (±0.5053),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v2,0.1185 (±0.0096),0.5509 (±0.0011),0.8374 (±0.0084)
lfr-n5000-mu5,Leiden,0.3237 (±0.0126),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v2,0.1422 (±0.0149),0.2917 (±0.0448),0.2774 (±0.0334)
lfr-n10000-mu1,Leiden,0.3186 (±0.5014),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v2,0.2273 (±0.0079),0.7774 (±0.0005),0.9376 (±0.0043)
lfr-n10000-mu3,Leiden,0.5378 (±0.0148),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v2,0.2588 (±0.0215),0.5755 (±0.0021),0.7444 (±0.0081)
lfr-n10000-mu5,Leiden,0.7604 (±0.0290),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v2,0.3596 (±0.0325),0.2076 (±0.1038),0.2100 (±0.0914)
