Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0042 (±0.0003),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v7,0.0024 (±0.0001),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n120-mu3,Leiden,0.0032 (±0.0004),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v7,0.0027 (±0.0003),0.2220 (±0.0000),0.4715 (±0.0000)
lfr-n120-mu5,Leiden,0.0038 (±0.0002),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v7,0.0024 (±0.0002),0.0083 (±0.0061),0.0175 (±0.0072)
lfr-n500-mu1,Leiden,0.0149 (±0.0007),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v7,0.0088 (±0.0003),0.4186 (±0.0019),0.6008 (±0.0056)
lfr-n500-mu3,Leiden,0.0184 (±0.0010),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v7,0.0110 (±0.0011),0.0982 (±0.0099),0.2520 (±0.0162)
lfr-n500-mu5,Leiden,0.0225 (±0.0012),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v7,0.0101 (±0.0008),0.2074 (±0.0100),0.2281 (±0.0204)
lfr-n1000-mu1,Leiden,0.0260 (±0.0006),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v7,0.0200 (±0.0109),0.7286 (±0.0000),0.8663 (±0.0000)
lfr-n1000-mu3,Leiden,0.0317 (±0.0018),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v7,0.0164 (±0.0008),0.4546 (±0.0068),0.5428 (±0.0168)
lfr-n1000-mu5,Leiden,0.0463 (±0.0025),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v7,0.0218 (±0.0019),0.2495 (±0.0039),0.2871 (±0.0162)
lfr-n5000-mu1,Leiden,0.1741 (±0.0066),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v7,0.1149 (±0.0284),0.7689 (±0.0010),0.8884 (±0.0036)
lfr-n5000-mu3,Leiden,0.2258 (±0.0059),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v7,0.1260 (±0.0160),0.4761 (±0.0018),0.6667 (±0.0069)
lfr-n5000-mu5,Leiden,0.2869 (±0.0107),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v7,0.1339 (±0.0102),0.2502 (±0.0017),0.2779 (±0.0057)
lfr-n10000-mu1,Leiden,0.4287 (±0.0186),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v7,0.4251 (±0.5796),0.7474 (±0.0002),0.8925 (±0.0010)
lfr-n10000-mu3,Leiden,0.4839 (±0.0140),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v7,0.2496 (±0.0111),0.5140 (±0.0015),0.6240 (±0.0056)
lfr-n10000-mu5,Leiden,0.6535 (±0.0151),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v7,0.3066 (±0.0158),0.2228 (±0.0034),0.2240 (±0.0101)
