Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v10,0.0499,0.7466,0.9059
lfr-n1000-mu1,0,Leiden,0.0252,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v10,0.016,0.7473,0.9143
lfr-n1000-mu1,1,Leiden,0.0243,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v10,0.0155,0.7473,0.9143
lfr-n1000-mu1,2,Leiden,0.0241,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v10,0.015,0.7473,0.9143
lfr-n1000-mu1,3,Leiden,0.0264,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v10,0.0154,0.7473,0.9143
lfr-n1000-mu1,4,Leiden,0.0246,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v10,0.0162,0.7473,0.9143
lfr-n1000-mu1,5,Leiden,0.025,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v10,0.0153,0.7469,0.9163
lfr-n1000-mu1,6,Leiden,0.0272,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v10,0.0174,0.7473,0.9143
lfr-n1000-mu1,7,Leiden,0.0276,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v10,0.0164,0.7473,0.9143
lfr-n1000-mu1,8,Leiden,0.0268,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v10,0.0167,0.7473,0.9143
lfr-n1000-mu1,9,Leiden,0.0274,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v10,0.017,0.5268,0.7177
lfr-n1000-mu3,0,Leiden,0.0327,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v10,0.0178,0.5208,0.6959
lfr-n1000-mu3,1,Leiden,0.0301,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v10,0.0162,0.5252,0.7207
lfr-n1000-mu3,2,Leiden,0.0304,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v10,0.0165,0.5253,0.7095
lfr-n1000-mu3,3,Leiden,0.0294,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v10,0.0162,0.5229,0.6962
