Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v3,0.0587,0.7318,0.8811
lfr-n1000-mu1,0,Leiden,0.0288,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v3,0.021,0.7318,0.8811
lfr-n1000-mu1,1,Leiden,0.0321,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v3,0.0196,0.7318,0.8811
lfr-n1000-mu1,2,Leiden,0.0278,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v3,0.0209,0.7318,0.8811
lfr-n1000-mu1,3,Leiden,0.0307,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v3,0.0248,0.7318,0.8811
lfr-n1000-mu1,4,Leiden,0.0368,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v3,0.0203,0.7318,0.8811
lfr-n1000-mu1,5,Leiden,0.0293,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v3,0.0199,0.7318,0.8811
lfr-n1000-mu1,6,Leiden,0.0292,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v3,0.0201,0.7318,0.8811
lfr-n1000-mu1,7,Leiden,0.0291,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v3,0.0198,0.7318,0.8811
lfr-n1000-mu1,8,Leiden,0.0288,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v3,0.0198,0.7318,0.8811
lfr-n1000-mu1,9,Leiden,0.0343,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v3,0.0219,0.527,0.6955
lfr-n1000-mu3,0,Leiden,0.0344,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v3,0.0195,0.5162,0.6725
lfr-n1000-mu3,1,Leiden,0.0346,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v3,0.0191,0.5134,0.6782
lfr-n1000-mu3,2,Leiden,0.0352,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v3,0.0189,0.5264,0.6937
lfr-n1000-mu3,3,Leiden,0.0344,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v3,0.021,0.5143,0.679
lfr-n1000-mu3,4,Leiden,0.0342,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v3,0.0195,0.5173,0.663
lfr-n1000-mu3,5,Leiden,0.0343,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v3,0.0191,0.5178,0.6543
lfr-n1000-mu3,6,Leiden,0.0345,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v3,0.0205,0.5269,0.7029
lfr-n1000-mu3,7,Leiden,0.0341,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v3,0.0205,0.5334,0.7291
lfr-n1000-mu3,8,Leiden,0.0346,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v3,0.0202,0.5169,0.6721
lfr-n1000-mu3,9,Leiden,0.0334,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-v3,0.0326,0.2775,0.2687
