Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v2,0.0528,0.7306,0.8717
lfr-n1000-mu1,0,Leiden,0.0292,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v2,0.0146,0.7344,0.8767
lfr-n1000-mu1,1,Leiden,0.0286,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v2,0.0142,0.7344,0.8767
lfr-n1000-mu1,2,Leiden,0.0284,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v2,0.0143,0.7344,0.8767
lfr-n1000-mu1,3,Leiden,0.0306,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v2,0.0145,0.7344,0.8767
lfr-n1000-mu1,4,Leiden,0.0287,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v2,0.0148,0.7344,0.8767
lfr-n1000-mu1,5,Leiden,0.0297,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v2,0.0147,0.7344,0.8767
lfr-n1000-mu1,6,Leiden,0.0294,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v2,0.0143,0.7344,0.8767
lfr-n1000-mu1,7,Leiden,0.0293,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v2,0.0141,0.7344,0.8767
lfr-n1000-mu1,8,Leiden,0.0289,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v2,0.0142,0.7344,0.8767
lfr-n1000-mu1,9,Leiden,0.029,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v2,0.016,0.5126,0.6666
lfr-n1000-mu3,0,Leiden,0.0347,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v2,0.0157,0.5209,0.6695
lfr-n1000-mu3,1,Leiden,0.0353,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v2,0.0159,0.5129,0.6655
lfr-n1000-mu3,2,Leiden,0.0358,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v2,0.0145,0.5115,0.6416
lfr-n1000-mu3,3,Leiden,0.0349,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v2,0.0167,0.5221,0.6936
lfr-n1000-mu3,4,Leiden,0.0345,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v2,0.0159,0.515,0.6275
lfr-n1000-mu3,5,Leiden,0.0347,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v2,0.0177,0.5172,0.682
lfr-n1000-mu3,6,Leiden,0.0358,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v2,0.0159,0.5196,0.6708
lfr-n1000-mu3,7,Leiden,0.0346,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v2,0.0144,0.5199,0.6779
lfr-n1000-mu3,8,Leiden,0.0351,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v2,0.0157,0.5065,0.6254
lfr-n1000-mu3,9,Leiden,0.0337,0.5651,0.8916
