Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n10000-mu3,2,Leiden-LPA-v11,0.3031,0.5841,0.8037
lfr-n10000-mu3,2,Leiden,0.4773,0.6085,0.9067
lfr-n10000-mu3,3,Leiden-LPA-v11,0.2812,0.5852,0.8004
lfr-n10000-mu3,3,Leiden,0.4822,0.6081,0.9026
lfr-n10000-mu3,4,Leiden-LPA-v11,0.354,0.5865,0.81
lfr-n10000-mu3,4,Leiden,0.4747,0.6082,0.8968
lfr-n10000-mu3,5,Leiden-LPA-v11,0.2744,0.5854,0.808
lfr-n10000-mu3,5,Leiden,0.4692,0.6082,0.9043
lfr-n10000-mu3,6,Leiden-LPA-v11,0.326,0.5857,0.8077
lfr-n10000-mu3,6,Leiden,0.4782,0.6084,0.9051
lfr-n10000-mu3,7,Leiden-LPA-v11,0.2767,0.5844,0.7995
lfr-n10000-mu3,7,Leiden,0.4839,0.6081,0.9038
lfr-n10000-mu3,8,Leiden-LPA-v11,0.3401,0.5855,0.8068
lfr-n10000-mu3,8,Leiden,0.4661,0.6083,0.9077
lfr-n10000-mu3,9,Leiden-LPA-v11,0.2867,0.5844,0.8032
lfr-n10000-mu3,9,Leiden,0.4741,0.6082,0.9012
lfr-n10000-mu5,0,Leiden-LPA-v11,0.3832,0.2897,0.2889
lfr-n10000-mu5,0,Leiden,0.6368,0.3248,0.2927
lfr-n10000-mu5,1,Leiden-LPA-v11,0.439,0.2958,0.3076
lfr-n10000-mu5,1,Leiden,0.6624,0.3191,0.2601
lfr-n10000-mu5,2,Leiden-LPA-v11,0.3948,0.2992,0.3056
lfr-n10000-mu5,2,Leiden,0.6473,0.3286,0.3191
lfr-n10000-mu5,3,Leiden-LPA-v11,0.3999,0.2991,0.3022
lfr-n10000-mu5,3,Leiden,0.6417,0.3177,0.2716
lfr-n10000-mu5,4,Leiden-LPA-v11,0.3718,0.2984,0.2738
lfr-n10000-mu5,4,Leiden,0.6596,0.3324,0.3437
lfr-n10000-mu5,5,Leiden-LPA-v11,0.3693,0.2843,0.2624
lfr-n10000-mu5,5,Leiden,0.6872,0.3235,0.2772
lfr-n10000-mu5,6,Leiden-LPA-v11,0.3755,0.295,0.2857
lfr-n10000-mu5,6,Leiden,0.6391,0.3248,0.2972
lfr-n10000-mu5,7,Leiden-LPA-v11,0.4015,0.2791,0.2566
lfr-n10000-mu5,7,Leiden,0.6483,0.3279,0.3075
lfr-n10000-mu5,8,Leiden-LPA-v11,0.3704,0.2996,0.2916
lfr-n10000-mu5,8,Leiden,0.6418,0.3294,0.3106
lfr-n10000-mu5,9,Leiden-LPA-v11,0.3949,0.3035,0.3101
lfr-n10000-mu5,9,Leiden,0.6565,0.3266,0.3094
lfr-n120-mu1,0,Leiden-LPA-v11,0.0035,0.1658,0.1613
lfr-n120-mu1,0,Leiden,0.0045,0.2492,0.1857
lfr-n120-mu1,1,Leiden-LPA-v11,0.0033,0.1458,0.2949
lfr-n120-mu1,1,Leiden,0.0043,0.2472,0.1493
lfr-n120-mu1,2,Leiden-LPA-v11,0.0032,0.149,0.1792
lfr-n120-mu1,2,Leiden,0.0042,0.2556,0.1658
lfr-n120-mu1,3,Leiden-LPA-v11,0.0031,0.1868,0.2363
lfr-n120-mu1,3,Leiden,0.0043,0.2562,0.1872
lfr-n120-mu1,4,Leiden-LPA-v11,0.0031,0.149,0.1792
lfr-n120-mu1,4,Leiden,0.0039,0.2461,0.1923
lfr-n120-mu1,5,Leiden-LPA-v11,0.0032,0.1641,0.2546
lfr-n120-mu1,5,Leiden,0.0045,0.2424,0.1606
lfr-n120-mu1,6,Leiden-LPA-v11,0.0031,0.1464,0.1886
lfr-n120-mu1,6,Leiden,0.0042,0.2528,0.1555
lfr-n120-mu1,7,Leiden-LPA-v11,0.0031,0.1937,0.2508
lfr-n120-mu1,7,Leiden,0.0046,0.2521,0.1552
lfr-n120-mu1,8,Leiden-LPA-v11,0.0032,0.1952,0.2295
lfr-n120-mu1,8,Leiden,0.0044,0.2381,0.1912
lfr-n120-mu1,9,Leiden-LPA-v11,0.003,0.1937,0.2508
lfr-n120-mu1,9,Leiden,0.0041,0.2495,0.1607
lfr-n120-mu3,0,Leiden-LPA-v11,0.0027,0.4219,0.658
lfr-n120-mu3,0,Leiden,0.0031,0.4756,0.842
lfr-n120-mu3,1,Leiden-LPA-v11,0.0026,0.4296,0.6517
lfr-n120-mu3,1,Leiden,0.003,0.4754,0.8717
lfr-n120-mu3,2,Leiden-LPA-v11,0.0028,0.4199,0.6085
lfr-n120-mu3,2,Leiden,0.003,0.4767,0.8455
lfr-n120-mu3,3,Leiden-LPA-v11,0.0026,0.4199,0.6085
lfr-n120-mu3,3,Leiden,0.0032,0.4756,0.842
lfr-n120-mu3,4,Leiden-LPA-v11,0.0027,0.4296,0.6517
lfr-n120-mu3,4,Leiden,0.0031,0.4756,0.842
lfr-n120-mu3,5,Leiden-LPA-v11,0.0027,0.4199,0.6085
lfr-n120-mu3,5,Leiden,0.0031,0.4767,0.8455
lfr-n120-mu3,6,Leiden-LPA-v11,0.0029,0.407,0.6004
lfr-n120-mu3,6,Leiden,0.003,0.4756,0.842
lfr-n120-mu3,7,Leiden-LPA-v11,0.0027,0.3917,0.5597
lfr-n120-mu3,7,Leiden,0.0031,0.4757,0.8663
lfr-n120-mu3,8,Leiden-LPA-v11,0.0026,0.4199,0.6085
lfr-n120-mu3,8,Leiden,0.0032,0.4756,0.842
lfr-n120-mu3,9,Leiden-LPA-v11,0.0028,0.407,0.6004
lfr-n120-mu3,9,Leiden,0.0031,0.4757,0.8663
lfr-n120-mu5,0,Leiden-LPA-v11,0.0032,0.2472,0.2016
lfr-n120-mu5,0,Leiden,0.004,0.282,0.2132
lfr-n120-mu5,1,Leiden-LPA-v11,0.0031,0.1829,0.2973
lfr-n120-mu5,1,Leiden,0.0038,0.2858,0.1554
lfr-n120-mu5,2,Leiden-LPA-v11,0.0031,0.2414,0.2356
lfr-n120-mu5,2,Leiden,0.0042,0.2855,0.1928
lfr-n120-mu5,3,Leiden-LPA-v11,0.0031,0.2442,0.2005
lfr-n120-mu5,3,Leiden,0.0039,0.2929,0.1926
lfr-n120-mu5,4,Leiden-LPA-v11,0.0031,0.2524,0.1896
lfr-n120-mu5,4,Leiden,0.0038,0.2899,0.186
lfr-n120-mu5,5,Leiden-LPA-v11,0.003,0.2423,0.176
lfr-n120-mu5,5,Leiden,0.0036,0.2938,0.1798
lfr-n120-mu5,6,Leiden-LPA-v11,0.0028,0.2619,0.1909
lfr-n120-mu5,6,Leiden,0.0038,0.2859,0.1878
lfr-n120-mu5,7,Leiden-LPA-v11,0.0031,0.2195,0.2414
lfr-n120-mu5,7,Leiden,0.0037,0.2902,0.2111
lfr-n120-mu5,8,Leiden-LPA-v11,0.003,0.2204,0.1941
lfr-n120-mu5,8,Leiden,0.0037,0.2901,0.1872
lfr-n120-mu5,9,Leiden-LPA-v11,0.0029,0.2504,0.1897
lfr-n120-mu5,9,Leiden,0.0036,0.2837,0.2096
lfr-n500-mu1,0,Leiden-LPA-v11,0.0117,0.511,0.8412
lfr-n500-mu1,0,Leiden,0.0155,0.5335,0.9628
lfr-n500-mu1,1,Leiden-LPA-v11,0.0112,0.511,0.8412
lfr-n500-mu1,1,Leiden,0.015,0.5335,0.9628
lfr-n500-mu1,2,Leiden-LPA-v11,0.011,0.511,0.8412
lfr-n500-mu1,2,Leiden,0.014,0.5335,0.9628
lfr-n500-mu1,3,Leiden-LPA-v11,0.0108,0.511,0.8412
lfr-n500-mu1,3,Leiden,0.015,0.5335,0.9628
lfr-n500-mu1,4,Leiden-LPA-v11,0.0108,0.511,0.8412
lfr-n500-mu1,4,Leiden,0.0141,0.5335,0.9628
lfr-n500-mu1,5,Leiden-LPA-v11,0.0855,0.511,0.8412
lfr-n500-mu1,5,Leiden,0.0158,0.5335,0.9628
lfr-n500-mu1,6,Leiden-LPA-v11,0.0124,0.511,0.8412
lfr-n500-mu1,6,Leiden,0.0148,0.5335,0.9628
lfr-n500-mu1,7,Leiden-LPA-v11,0.0118,0.511,0.8412
lfr-n500-mu1,7,Leiden,0.0157,0.5335,0.9628
lfr-n500-mu1,8,Leiden-LPA-v11,0.0114,0.511,0.8412
lfr-n500-mu1,8,Leiden,0.0151,0.5335,0.9628
lfr-n500-mu1,9,Leiden-LPA-v11,0.0113,0.511,0.8412
lfr-n500-mu1,9,Leiden,0.0157,0.5335,0.9628
lfr-n500-mu3,0,Leiden-LPA-v11,0.0133,0.3599,0.5771
lfr-n500-mu3,0,Leiden,0.0187,0.4432,0.8663
lfr-n500-mu3,1,Leiden-LPA-v11,0.0125,0.3539,0.5789
lfr-n500-mu3,1,Leiden,0.0175,0.4429,0.8521
lfr-n500-mu3,2,Leiden-LPA-v11,0.0129,0.3817,0.5716
lfr-n500-mu3,2,Leiden,0.0179,0.4375,0.8298
lfr-n500-mu3,3,Leiden-LPA-v11,0.0127,0.3644,0.5637
lfr-n500-mu3,3,Leiden,0.0177,0.4436,0.8563
lfr-n500-mu3,4,Leiden-LPA-v11,0.0128,0.3821,0.6395
lfr-n500-mu3,4,Leiden,0.0173,0.4433,0.8731
lfr-n500-mu3,5,Leiden-LPA-v11,0.0125,0.3801,0.635
lfr-n500-mu3,5,Leiden,0.0183,0.4397,0.8395
lfr-n500-mu3,6,Leiden-LPA-v11,0.0139,0.3777,0.6406
lfr-n500-mu3,6,Leiden,0.0177,0.4436,0.8755
lfr-n500-mu3,7,Leiden-LPA-v11,0.0125,0.3757,0.6109
lfr-n500-mu3,7,Leiden,0.0168,0.4442,0.8799
lfr-n500-mu3,8,Leiden-LPA-v11,0.0119,0.3709,0.6332
lfr-n500-mu3,8,Leiden,0.0172,0.4416,0.8722
lfr-n500-mu3,9,Leiden-LPA-v11,0.0127,0.3863,0.6361
lfr-n500-mu3,9,Leiden,0.0182,0.4443,0.8747
lfr-n500-mu5,0,Leiden-LPA-v11,0.0146,0.294,0.2941
lfr-n500-mu5,0,Leiden,0.0227,0.312,0.2724
lfr-n500-mu5,1,Leiden-LPA-v11,0.0129,0.2991,0.2714
lfr-n500-mu5,1,Leiden,0.0209,0.3147,0.2792
lfr-n500-mu5,2,Leiden-LPA-v11,0.0127,0.2917,0.2965
lfr-n500-mu5,2,Leiden,0.0221,0.3054,0.3067
lfr-n500-mu5,3,Leiden-LPA-v11,0.0127,0.2937,0.2599
lfr-n500-mu5,3,Leiden,0.0217,0.3098,0.287
lfr-n500-mu5,4,Leiden-LPA-v11,0.013,0.2858,0.2561
lfr-n500-mu5,4,Leiden,0.0246,0.3101,0.2817
lfr-n500-mu5,5,Leiden-LPA-v11,0.0131,0.2901,0.2919
lfr-n500-mu5,5,Leiden,0.0199,0.3166,0.2976
lfr-n500-mu5,6,Leiden-LPA-v11,0.0121,0.2804,0.2342
lfr-n500-mu5,6,Leiden,0.0219,0.3017,0.243
lfr-n500-mu5,7,Leiden-LPA-v11,0.0144,0.288,0.2402
lfr-n500-mu5,7,Leiden,0.0235,0.3125,0.2993
lfr-n500-mu5,8,Leiden-LPA-v11,0.0147,0.2655,0.235
lfr-n500-mu5,8,Leiden,0.023,0.31,0.2615
lfr-n500-mu5,9,Leiden-LPA-v11,0.0134,0.2868,0.2563
lfr-n500-mu5,9,Leiden,0.0233,0.307,0.2567
lfr-n5000-mu1,0,Leiden-LPA-v11,0.11,0.7928,0.9571
lfr-n5000-mu1,0,Leiden,0.1692,0.7955,0.9801
lfr-n5000-mu1,1,Leiden-LPA-v11,0.1107,0.7929,0.9551
lfr-n5000-mu1,1,Leiden,0.1667,0.7954,0.9776
lfr-n5000-mu1,2,Leiden-LPA-v11,0.109,0.7922,0.9559
lfr-n5000-mu1,2,Leiden,0.1626,0.7955,0.9815
lfr-n5000-mu1,3,Leiden-LPA-v11,0.1153,0.7928,0.9566
lfr-n5000-mu1,3,Leiden,0.1757,0.7954,0.9782
lfr-n5000-mu1,4,Leiden-LPA-v11,0.1124,0.7925,0.9586
lfr-n5000-mu1,4,Leiden,0.1871,0.7955,0.9815
lfr-n5000-mu1,5,Leiden-LPA-v11,0.1759,0.7926,0.9567
lfr-n5000-mu1,5,Leiden,0.168,0.7955,0.9801
lfr-n5000-mu1,6,Leiden-LPA-v11,0.1205,0.7927,0.9545
lfr-n5000-mu1,6,Leiden,0.167,0.7955,0.9815
lfr-n5000-mu1,7,Leiden-LPA-v11,0.1171,0.7925,0.9588
lfr-n5000-mu1,7,Leiden,0.1704,0.7955,0.9815
lfr-n5000-mu1,8,Leiden-LPA-v11,0.1086,0.7926,0.9583
lfr-n5000-mu1,8,Leiden,2.1286,0.7955,0.9815
lfr-n5000-mu1,9,Leiden-LPA-v11,0.1105,0.7924,0.9558
lfr-n5000-mu1,9,Leiden,0.1662,0.7955,0.9815
lfr-n5000-mu3,0,Leiden-LPA-v11,0.1435,0.553,0.8765
lfr-n5000-mu3,0,Leiden,0.2226,0.5666,0.9533
lfr-n5000-mu3,1,Leiden-LPA-v11,0.1377,0.5522,0.87
lfr-n5000-mu3,1,Leiden,0.2137,0.5667,0.948
lfr-n5000-mu3,2,Leiden-LPA-v11,0.1427,0.5513,0.8733
lfr-n5000-mu3,2,Leiden,0.2184,0.5667,0.9528
lfr-n5000-mu3,3,Leiden-LPA-v11,0.1419,0.5533,0.8777
lfr-n5000-mu3,3,Leiden,0.2323,0.5662,0.9468
lfr-n5000-mu3,4,Leiden-LPA-v11,0.1385,0.5532,0.8707
lfr-n5000-mu3,4,Leiden,0.2183,0.5667,0.9482
lfr-n5000-mu3,5,Leiden-LPA-v11,0.1421,0.5536,0.8801
lfr-n5000-mu3,5,Leiden,0.2244,0.5667,0.948
lfr-n5000-mu3,6,Leiden-LPA-v11,0.139,0.5532,0.8768
lfr-n5000-mu3,6,Leiden,0.2262,0.5641,0.9413
lfr-n5000-mu3,7,Leiden-LPA-v11,0.1355,0.5528,0.8773
lfr-n5000-mu3,7,Leiden,0.2131,0.5668,0.948
lfr-n5000-mu3,8,Leiden-LPA-v11,0.1336,0.5517,0.8652
lfr-n5000-mu3,8,Leiden,0.205,0.5667,0.9487
lfr-n5000-mu3,9,Leiden-LPA-v11,0.1333,0.554,0.8706
lfr-n5000-mu3,9,Leiden,0.2115,0.566,0.948
lfr-n5000-mu5,0,Leiden-LPA-v11,0.1814,0.3083,0.3298
lfr-n5000-mu5,0,Leiden,0.2884,0.3267,0.3334
lfr-n5000-mu5,1,Leiden-LPA-v11,0.1757,0.3055,0.3068
lfr-n5000-mu5,1,Leiden,0.2692,0.3253,0.3244
lfr-n5000-mu5,2,Leiden-LPA-v11,0.1632,0.3092,0.3039
lfr-n5000-mu5,2,Leiden,0.2726,0.3309,0.3274
lfr-n5000-mu5,3,Leiden-LPA-v11,0.1614,0.3022,0.2846
lfr-n5000-mu5,3,Leiden,0.265,0.326,0.3161
lfr-n5000-mu5,4,Leiden-LPA-v11,0.1681,0.3053,0.3125
lfr-n5000-mu5,4,Leiden,0.2708,0.3312,0.3819
lfr-n5000-mu5,5,Leiden-LPA-v11,0.1789,0.3069,0.3059
lfr-n5000-mu5,5,Leiden,0.2707,0.3282,0.3351
lfr-n5000-mu5,6,Leiden-LPA-v11,0.1676,0.3091,0.3056
