Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0043 (±0.0002),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v4,0.0027 (±0.0003),0.0944 (±0.0351),0.1638 (±0.0172)
lfr-n120-mu3,Leiden,0.0031 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v4,0.0021 (±0.0002),0.3603 (±0.0000),0.5398 (±0.0000)
lfr-n120-mu5,Leiden,0.0038 (±0.0002),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v4,0.0025 (±0.0003),0.1130 (±0.0695),0.1224 (±0.0266)
lfr-n500-mu1,Leiden,0.0152 (±0.0010),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v4,0.0082 (±0.0006),0.4927 (±0.0081),0.8206 (±0.0069)
lfr-n500-mu3,Leiden,0.0180 (±0.0007),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v4,0.0100 (±0.0009),0.2752 (±0.0278),0.4614 (±0.0444)
lfr-n500-mu5,Leiden,0.0221 (±0.0012),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v4,0.0114 (±0.0017),0.1985 (±0.0876),0.1975 (±0.0351)
lfr-n1000-mu1,Leiden,0.0255 (±0.0007),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v4,0.0208 (±0.0131),0.7237 (±0.0000),0.8750 (±0.0000)
lfr-n1000-mu3,Leiden,0.0304 (±0.0008),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v4,0.0172 (±0.0037),0.4989 (±0.0066),0.6454 (±0.0169)
lfr-n1000-mu5,Leiden,0.0443 (±0.0022),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v4,0.0229 (±0.0028),0.2498 (±0.0557),0.2601 (±0.0245)
lfr-n5000-mu1,Leiden,0.1761 (±0.0058),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v4,0.0845 (±0.0024),0.7852 (±0.0007),0.9184 (±0.0035)
lfr-n5000-mu3,Leiden,0.2208 (±0.0051),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v4,0.1169 (±0.0194),0.5359 (±0.0014),0.8145 (±0.0060)
lfr-n5000-mu5,Leiden,0.2860 (±0.0080),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v4,0.1294 (±0.0068),0.3008 (±0.0019),0.2739 (±0.0133)
lfr-n10000-mu1,Leiden,0.4211 (±0.0108),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v4,0.2186 (±0.0168),0.7756 (±0.0002),0.9445 (±0.0010)
lfr-n10000-mu3,Leiden,0.4679 (±0.0099),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v4,0.2370 (±0.0213),0.5530 (±0.0028),0.7149 (±0.0107)
lfr-n10000-mu5,Leiden,0.6528 (±0.0293),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v4,0.3405 (±0.0285),0.2574 (±0.0425),0.2292 (±0.0193)
