Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0042 (±0.0002),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v8,0.0074 (±0.0007),0.0000 (±0.0000),0.0000 (±0.0000)
lfr-n120-mu3,Leiden,0.0030 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v8,0.0086 (±0.0002),0.2346 (±0.0000),0.4716 (±0.0000)
lfr-n120-mu5,Leiden,0.0037 (±0.0002),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v8,0.0074 (±0.0005),0.0099 (±0.0059),0.0147 (±0.0035)
lfr-n500-mu1,Leiden,0.0144 (±0.0006),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v8,0.0336 (±0.0002),0.4193 (±0.0035),0.6104 (±0.0095)
lfr-n500-mu3,Leiden,0.0172 (±0.0005),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v8,0.0407 (±0.0029),0.1018 (±0.0132),0.2618 (±0.0209)
lfr-n500-mu5,Leiden,0.0214 (±0.0012),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v8,0.0376 (±0.0054),0.1893 (±0.0379),0.2310 (±0.0325)
lfr-n1000-mu1,Leiden,0.0258 (±0.0013),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v8,0.0723 (±0.0129),0.7270 (±0.0000),0.8644 (±0.0000)
lfr-n1000-mu3,Leiden,0.0303 (±0.0006),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v8,0.3014 (±0.7806),0.4586 (±0.0046),0.5467 (±0.0159)
lfr-n1000-mu5,Leiden,0.0451 (±0.0021),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v8,0.0894 (±0.0074),0.2511 (±0.0058),0.2898 (±0.0137)
lfr-n5000-mu1,Leiden,0.1675 (±0.0057),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v8,0.4398 (±0.0090),0.7702 (±0.0010),0.8898 (±0.0035)
lfr-n5000-mu3,Leiden,0.4365 (±0.6970),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v8,0.5206 (±0.0385),0.4794 (±0.0011),0.6722 (±0.0058)
lfr-n5000-mu5,Leiden,0.2862 (±0.0088),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v8,0.5622 (±0.0749),0.2504 (±0.0024),0.2792 (±0.0129)
lfr-n10000-mu1,Leiden,0.4207 (±0.0185),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v8,1.1809 (±0.0379),0.7482 (±0.0002),0.8934 (±0.0006)
lfr-n10000-mu3,Leiden,0.4683 (±0.0142),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v8,1.1136 (±0.7900),0.5144 (±0.0013),0.6241 (±0.0080)
lfr-n10000-mu5,Leiden,0.6442 (±0.0303),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v8,1.4957 (±0.1267),0.2232 (±0.0024),0.2250 (±0.0093)
