Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0052 (±0.0004),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v5,0.0025 (±0.0002),0.0250 (±0.0009),0.1321 (±0.0056)
lfr-n120-mu3,Leiden,0.0036 (±0.0002),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v5,0.0026 (±0.0002),0.2709 (±0.0000),0.4646 (±0.0000)
lfr-n120-mu5,Leiden,0.0043 (±0.0002),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v5,0.0023 (±0.0001),0.1192 (±0.0144),0.1126 (±0.0093)
lfr-n500-mu1,Leiden,0.0168 (±0.0007),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v5,0.0086 (±0.0007),0.4360 (±0.0063),0.6504 (±0.0099)
lfr-n500-mu3,Leiden,0.0198 (±0.0005),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v5,0.0093 (±0.0005),0.2095 (±0.0220),0.3505 (±0.0171)
lfr-n500-mu5,Leiden,0.0249 (±0.0015),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v5,0.0094 (±0.0008),0.2289 (±0.0068),0.2522 (±0.0099)
lfr-n1000-mu1,Leiden,0.0294 (±0.0007),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v5,0.0191 (±0.0140),0.7257 (±0.0000),0.8702 (±0.0000)
lfr-n1000-mu3,Leiden,0.0349 (±0.0005),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v5,0.0146 (±0.0015),0.4592 (±0.0073),0.5542 (±0.0144)
lfr-n1000-mu5,Leiden,0.0516 (±0.0027),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v5,0.0198 (±0.0013),0.2584 (±0.0046),0.2915 (±0.0182)
lfr-n5000-mu1,Leiden,0.1871 (±0.0040),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v5,0.0893 (±0.0216),0.7746 (±0.0009),0.8978 (±0.0034)
lfr-n5000-mu3,Leiden,0.2469 (±0.0057),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v5,0.1132 (±0.0249),0.4893 (±0.0021),0.6856 (±0.0069)
lfr-n5000-mu5,Leiden,0.3199 (±0.0109),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v5,0.1126 (±0.0053),0.2588 (±0.0032),0.2733 (±0.0076)
lfr-n10000-mu1,Leiden,0.4698 (±0.0211),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v5,0.2046 (±0.0185),0.7548 (±0.0003),0.9012 (±0.0020)
lfr-n10000-mu3,Leiden,0.5208 (±0.0061),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v5,0.1979 (±0.0068),0.5132 (±0.0020),0.6236 (±0.0068)
lfr-n10000-mu5,Leiden,0.4972 (±0.7284),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v5,0.2653 (±0.0222),0.2493 (±0.0024),0.2477 (±0.0110)
