Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0049 (±0.0003),0.2489 (±0.0057),0.1704 (±0.0168)
lfr-n120-mu1,Leiden-LPA-v3,0.0030 (±0.0004),0.0000 (±0.0000),0.0016 (±0.0021)
lfr-n120-mu3,Leiden,0.0035 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v3,0.0026 (±0.0001),0.3654 (±0.0000),0.5700 (±0.0000)
lfr-n120-mu5,Leiden,0.0044 (±0.0002),0.2880 (±0.0040),0.1915 (±0.0173)
lfr-n120-mu5,Leiden-LPA-v3,0.0030 (±0.0004),0.0835 (±0.0625),0.0454 (±0.0255)
lfr-n500-mu1,Leiden,0.0169 (±0.0008),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v3,0.0104 (±0.0005),0.5114 (±0.0000),0.8474 (±0.0000)
lfr-n500-mu3,Leiden,0.0202 (±0.0008),0.4424 (±0.0022),0.8619 (±0.0169)
lfr-n500-mu3,Leiden-LPA-v3,0.0128 (±0.0013),0.2244 (±0.0637),0.4483 (±0.0745)
lfr-n500-mu5,Leiden,0.0254 (±0.0017),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v3,0.0132 (±0.0015),0.2016 (±0.0921),0.1880 (±0.0723)
lfr-n1000-mu1,Leiden,0.0259 (±0.0015),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v3,0.0215 (±0.0127),0.7318 (±0.0000),0.8811 (±0.0000)
lfr-n1000-mu3,Leiden,0.0301 (±0.0004),0.5658 (±0.0007),0.8822 (±0.0110)
lfr-n1000-mu3,Leiden-LPA-v3,0.0175 (±0.0012),0.5164 (±0.0082),0.6703 (±0.0191)
lfr-n1000-mu5,Leiden,0.0447 (±0.0024),0.3290 (±0.0052),0.3833 (±0.0257)
lfr-n1000-mu5,Leiden-LPA-v3,0.0254 (±0.0027),0.1623 (±0.1141),0.1796 (±0.0999)
lfr-n5000-mu1,Leiden,0.1918 (±0.0071),0.7955 (±0.0000),0.9805 (±0.0015)
lfr-n5000-mu1,Leiden-LPA-v3,0.1081 (±0.0221),0.7876 (±0.0009),0.9226 (±0.0028)
lfr-n5000-mu3,Leiden,0.2423 (±0.0176),0.5663 (±0.0008),0.9483 (±0.0033)
lfr-n5000-mu3,Leiden-LPA-v3,0.1325 (±0.0130),0.5502 (±0.0015),0.8363 (±0.0074)
lfr-n5000-mu5,Leiden,0.2795 (±0.0103),0.3277 (±0.0033),0.3320 (±0.0219)
lfr-n5000-mu5,Leiden-LPA-v3,0.1512 (±0.0131),0.3015 (±0.0083),0.2784 (±0.0148)
lfr-n10000-mu1,Leiden,0.4436 (±0.0454),0.7823 (±0.0000),0.9848 (±0.0009)
lfr-n10000-mu1,Leiden-LPA-v3,0.2573 (±0.0309),0.7788 (±0.0003),0.9468 (±0.0010)
lfr-n10000-mu3,Leiden,0.4747 (±0.0146),0.6081 (±0.0003),0.9029 (±0.0043)
lfr-n10000-mu3,Leiden-LPA-v3,0.2549 (±0.0167),0.5787 (±0.0029),0.7544 (±0.0092)
lfr-n10000-mu5,Leiden,0.7182 (±0.0371),0.3255 (±0.0045),0.2989 (±0.0247)
lfr-n10000-mu5,Leiden-LPA-v3,0.6843 (±0.9094),0.1617 (±0.0972),0.1732 (±0.0735)
