Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v9,0.0737,0.7434,0.9116
lfr-n1000-mu1,0,Leiden,0.0276,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v9,0.0312,0.7434,0.9116
lfr-n1000-mu1,1,Leiden,0.0268,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v9,0.0317,0.7434,0.9116
lfr-n1000-mu1,2,Leiden,0.0266,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v9,0.0316,0.7434,0.9116
lfr-n1000-mu1,3,Leiden,0.0292,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v9,0.0308,0.7434,0.9116
lfr-n1000-mu1,4,Leiden,0.0277,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v9,0.0309,0.7434,0.9116
lfr-n1000-mu1,5,Leiden,0.0295,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v9,0.0313,0.7434,0.9116
lfr-n1000-mu1,6,Leiden,0.0276,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v9,0.0334,0.7434,0.9116
lfr-n1000-mu1,7,Leiden,0.0278,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v9,0.0326,0.7416,0.9036
lfr-n1000-mu1,8,Leiden,0.0284,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v9,0.0337,0.7434,0.9116
lfr-n1000-mu1,9,Leiden,0.0289,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v9,0.0359,0.5255,0.7253
lfr-n1000-mu3,0,Leiden,0.0328,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v9,0.0346,0.5234,0.7192
lfr-n1000-mu3,1,Leiden,0.0328,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v9,0.036,0.5262,0.7178
lfr-n1000-mu3,2,Leiden,0.0346,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v9,0.0345,0.5245,0.7138
lfr-n1000-mu3,3,Leiden,0.0324,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v9,0.0343,0.5245,0.7195
lfr-n1000-mu3,4,Leiden,0.0326,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v9,0.0355,0.5224,0.7127
lfr-n1000-mu3,5,Leiden,0.033,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v9,0.0441,0.5186,0.6833
lfr-n1000-mu3,6,Leiden,0.0363,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v9,0.036,0.5214,0.7194
lfr-n1000-mu3,7,Leiden,0.0346,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v9,0.0398,0.5195,0.7077
