Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0043 (±0.0002),0.2492 (±0.0060),0.1679 (±0.0158)
lfr-n120-mu1,Leiden-LPA-v11,0.0031 (±0.0001),0.1693 (±0.0226),0.2293 (±0.0397)
lfr-n120-mu3,Leiden,0.0031 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v11,0.0027 (±0.0001),0.4210 (±0.0071),0.6245 (±0.0245)
lfr-n120-mu5,Leiden,0.0038 (±0.0001),0.2886 (±0.0043),0.1959 (±0.0132)
lfr-n120-mu5,Leiden-LPA-v11,0.0031 (±0.0001),0.2397 (±0.0128),0.2036 (±0.0230)
lfr-n500-mu1,Leiden,0.0151 (±0.0006),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v11,0.0114 (±0.0005),0.5110 (±0.0000),0.8412 (±0.0000)
lfr-n500-mu3,Leiden,0.0177 (±0.0006),0.4429 (±0.0014),0.8655 (±0.0134)
lfr-n500-mu3,Leiden-LPA-v11,0.0126 (±0.0004),0.3728 (±0.0112),0.6051 (±0.0320)
lfr-n500-mu5,Leiden,0.0224 (±0.0014),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v11,0.0132 (±0.0008),0.2900 (±0.0055),0.2667 (±0.0232)
lfr-n1000-mu1,Leiden,0.0259 (±0.0004),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v11,0.0183 (±0.0006),0.7491 (±0.0000),0.9161 (±0.0000)
lfr-n1000-mu3,Leiden,0.0317 (±0.0004),0.5660 (±0.0005),0.8838 (±0.0084)
lfr-n1000-mu3,Leiden-LPA-v11,0.0204 (±0.0005),0.5311 (±0.0031),0.7235 (±0.0114)
lfr-n1000-mu5,Leiden,0.0451 (±0.0011),0.3309 (±0.0032),0.3921 (±0.0149)
lfr-n1000-mu5,Leiden-LPA-v11,0.0289 (±0.0011),0.2973 (±0.0083),0.3259 (±0.0216)
lfr-n5000-mu1,Leiden,0.1708 (±0.0076),0.7955 (±0.0000),0.9807 (±0.0012)
lfr-n5000-mu1,Leiden-LPA-v11,0.1127 (±0.0041),0.7926 (±0.0002),0.9567 (±0.0016)
lfr-n5000-mu3,Leiden,0.2177 (±0.0081),0.5666 (±0.0003),0.9491 (±0.0023)
lfr-n5000-mu3,Leiden-LPA-v11,0.1388 (±0.0038),0.5528 (±0.0008),0.8738 (±0.0046)
lfr-n5000-mu5,Leiden,0.2756 (±0.0078),0.3282 (±0.0021),0.3304 (±0.0078)
lfr-n5000-mu5,Leiden-LPA-v11,0.1708 (±0.0067),0.3084 (±0.0024),0.3128 (±0.0095)
lfr-n10000-mu1,Leiden,0.4119 (±0.0082),0.7823 (±0.0000),0.9846 (±0.0006)
lfr-n10000-mu1,Leiden-LPA-v11,0.2544 (±0.0079),0.7814 (±0.0001),0.9694 (±0.0011)
lfr-n10000-mu3,Leiden,0.4763 (±0.0059),0.6082 (±0.0001),0.9038 (±0.0033)
lfr-n10000-mu3,Leiden-LPA-v11,0.2963 (±0.0246),0.5849 (±0.0006),0.8042 (±0.0032)
lfr-n10000-mu5,Leiden,0.6482 (±0.0093),0.3257 (±0.0048),0.3013 (±0.0249)
lfr-n10000-mu5,Leiden-LPA-v11,0.3825 (±0.0125),0.2961 (±0.0062),0.2900 (±0.0162)
