Graph,Algorithm,Time (s),Modularity,NMI
lfr-n120-mu1,Leiden,0.0043 (±0.0002),0.2492 (±0.0060),0.1679 (±0.0158)
lfr-n120-mu1,Leiden-LPA-v10,0.0027 (±0.0001),0.1913 (±0.0131),0.1852 (±0.0441)
lfr-n120-mu3,Leiden,0.0030 (±0.0001),0.4758 (±0.0005),0.8505 (±0.0123)
lfr-n120-mu3,Leiden-LPA-v10,0.0023 (±0.0000),0.3906 (±0.0072),0.5125 (±0.0269)
lfr-n120-mu5,Leiden,0.0038 (±0.0002),0.2880 (±0.0043),0.1966 (±0.0129)
lfr-n120-mu5,Leiden-LPA-v10,0.0026 (±0.0001),0.2426 (±0.0060),0.2048 (±0.0099)
lfr-n500-mu1,Leiden,0.0145 (±0.0006),0.5335 (±0.0000),0.9628 (±0.0000)
lfr-n500-mu1,Leiden-LPA-v10,0.0100 (±0.0003),0.4999 (±0.0000),0.8117 (±0.0022)
lfr-n500-mu3,Leiden,0.0173 (±0.0006),0.4429 (±0.0014),0.8655 (±0.0134)
lfr-n500-mu3,Leiden-LPA-v10,0.0103 (±0.0004),0.3684 (±0.0046),0.5773 (±0.0293)
lfr-n500-mu5,Leiden,0.0218 (±0.0012),0.3100 (±0.0044),0.2785 (±0.0204)
lfr-n500-mu5,Leiden-LPA-v10,0.0111 (±0.0003),0.2872 (±0.0029),0.2820 (±0.0116)
lfr-n1000-mu1,Leiden,0.0259 (±0.0014),0.7586 (±0.0000),0.9719 (±0.0005)
lfr-n1000-mu1,Leiden-LPA-v10,0.0160 (±0.0008),0.7473 (±0.0001),0.9145 (±0.0007)
lfr-n1000-mu3,Leiden,0.0301 (±0.0003),0.5659 (±0.0006),0.8852 (±0.0087)
lfr-n1000-mu3,Leiden-LPA-v10,0.0166 (±0.0003),0.5251 (±0.0012),0.7112 (±0.0086)
lfr-n1000-mu5,Leiden,0.0439 (±0.0021),0.3302 (±0.0036),0.3901 (±0.0151)
lfr-n1000-mu5,Leiden-LPA-v10,0.0241 (±0.0007),0.2974 (±0.0028),0.3479 (±0.0160)
lfr-n5000-mu1,Leiden,0.1647 (±0.0024),0.7955 (±0.0000),0.9811 (±0.0006)
lfr-n5000-mu1,Leiden-LPA-v10,0.1002 (±0.0021),0.7921 (±0.0002),0.9564 (±0.0018)
lfr-n5000-mu3,Leiden,0.2260 (±0.0055),0.5665 (±0.0003),0.9491 (±0.0025)
lfr-n5000-mu3,Leiden-LPA-v10,0.1234 (±0.0056),0.5465 (±0.0010),0.8491 (±0.0055)
lfr-n5000-mu5,Leiden,0.2999 (±0.0070),0.3282 (±0.0021),0.3304 (±0.0078)
lfr-n5000-mu5,Leiden-LPA-v10,0.1516 (±0.0052),0.2990 (±0.0038),0.2943 (±0.0132)
lfr-n10000-mu1,Leiden,0.4323 (±0.0062),0.7823 (±0.0000),0.9846 (±0.0006)
lfr-n10000-mu1,Leiden-LPA-v10,0.2434 (±0.0060),0.7805 (±0.0002),0.9664 (±0.0017)
lfr-n10000-mu3,Leiden,0.4528 (±0.0078),0.6082 (±0.0001),0.9035 (±0.0034)
lfr-n10000-mu3,Leiden-LPA-v10,0.2351 (±0.0161),0.5737 (±0.0009),0.7704 (±0.0031)
lfr-n10000-mu5,Leiden,0.6263 (±0.0104),0.3257 (±0.0048),0.3013 (±0.0249)
lfr-n10000-mu5,Leiden-LPA-v10,0.3109 (±0.0051),0.2979 (±0.0033),0.2928 (±0.0089)
