Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v8,0.109,0.727,0.8644
lfr-n1000-mu1,0,Leiden,0.0258,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v8,0.0677,0.727,0.8644
lfr-n1000-mu1,1,Leiden,0.0248,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v8,0.068,0.727,0.8644
lfr-n1000-mu1,2,Leiden,0.0247,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v8,0.0674,0.727,0.8644
lfr-n1000-mu1,3,Leiden,0.0266,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v8,0.0681,0.727,0.8644
lfr-n1000-mu1,4,Leiden,0.0252,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v8,0.0692,0.727,0.8644
lfr-n1000-mu1,5,Leiden,0.0257,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v8,0.069,0.727,0.8644
lfr-n1000-mu1,6,Leiden,0.0253,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v8,0.0679,0.727,0.8644
lfr-n1000-mu1,7,Leiden,0.0254,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v8,0.0683,0.727,0.8644
lfr-n1000-mu1,8,Leiden,0.0252,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v8,0.0684,0.727,0.8644
lfr-n1000-mu1,9,Leiden,0.029,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v8,0.0553,0.4622,0.5637
lfr-n1000-mu3,0,Leiden,0.0301,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v8,0.0533,0.4544,0.5337
lfr-n1000-mu3,1,Leiden,0.0316,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v8,0.0546,0.4628,0.5572
lfr-n1000-mu3,2,Leiden,0.0311,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v8,0.0533,0.4494,0.5228
lfr-n1000-mu3,3,Leiden,0.0301,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v8,2.5231,0.4587,0.5433
lfr-n1000-mu3,4,Leiden,0.03,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v8,0.0538,0.4622,0.5584
lfr-n1000-mu3,5,Leiden,0.0302,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v8,0.053,0.4596,0.5403
lfr-n1000-mu3,6,Leiden,0.0304,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v8,0.0598,0.4534,0.5252
lfr-n1000-mu3,7,Leiden,0.0301,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v8,0.0535,0.4624,0.5668
lfr-n1000-mu3,8,Leiden,0.03,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v8,0.0539,0.4609,0.556
lfr-n1000-mu3,9,Leiden,0.0293,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-v8,0.0899,0.2468,0.2925
lfr-n1000-mu5,0,Leiden,0.0418,0.3352,0.4069
lfr-n1000-mu5,1,Leiden-LPA-v8,0.088,0.2552,0.2896
lfr-n1000-mu5,1,Leiden,0.0457,0.3282,0.3919
lfr-n1000-mu5,2,Leiden-LPA-v8,0.1096,0.2498,0.3077
lfr-n1000-mu5,2,Leiden,0.0439,0.3271,0.3818
lfr-n1000-mu5,3,Leiden-LPA-v8,0.0869,0.2461,0.271
lfr-n1000-mu5,3,Leiden,0.0452,0.332,0.4106
lfr-n1000-mu5,4,Leiden-LPA-v8,0.0865,0.2605,0.2741
lfr-n1000-mu5,4,Leiden,0.0452,0.3278,0.3838
lfr-n1000-mu5,5,Leiden-LPA-v8,0.0847,0.2589,0.2869
lfr-n1000-mu5,5,Leiden,0.0432,0.3292,0.3841
lfr-n1000-mu5,6,Leiden-LPA-v8,0.0837,0.2539,0.3127
lfr-n1000-mu5,6,Leiden,0.0487,0.3248,0.3743
lfr-n1000-mu5,7,Leiden-LPA-v8,0.0905,0.2471,0.2885
lfr-n1000-mu5,7,Leiden,0.0437,0.3343,0.4077
lfr-n1000-mu5,8,Leiden-LPA-v8,0.0856,0.2433,0.2978
lfr-n1000-mu5,8,Leiden,0.0475,0.318,0.3224
lfr-n1000-mu5,9,Leiden-LPA-v8,0.0884,0.249,0.2767
lfr-n1000-mu5,9,Leiden,0.0465,0.3334,0.3696
lfr-n10000-mu1,0,Leiden-LPA-v8,1.1633,0.7481,0.8933
lfr-n10000-mu1,0,Leiden,0.4164,0.7823,0.9852
lfr-n10000-mu1,1,Leiden-LPA-v8,1.1779,0.7484,0.8933
lfr-n10000-mu1,1,Leiden,0.4308,0.7823,0.985
lfr-n10000-mu1,2,Leiden-LPA-v8,1.1699,0.7485,0.8937
lfr-n10000-mu1,2,Leiden,0.423,0.7823,0.9841
lfr-n10000-mu1,3,Leiden-LPA-v8,1.1812,0.7483,0.893
lfr-n10000-mu1,3,Leiden,0.4129,0.7823,0.9842
lfr-n10000-mu1,4,Leiden-LPA-v8,1.1891,0.7481,0.8933
lfr-n10000-mu1,4,Leiden,0.4402,0.7823,0.9866
lfr-n10000-mu1,5,Leiden-LPA-v8,1.1376,0.7482,0.8949
lfr-n10000-mu1,5,Leiden,0.3968,0.7823,0.9844
lfr-n10000-mu1,6,Leiden-LPA-v8,1.1768,0.7481,0.8933
lfr-n10000-mu1,6,Leiden,0.4062,0.7823,0.9854
lfr-n10000-mu1,7,Leiden-LPA-v8,1.1748,0.7483,0.8933
lfr-n10000-mu1,7,Leiden,0.4194,0.7823,0.9853
lfr-n10000-mu1,8,Leiden-LPA-v8,1.2806,0.7481,0.8933
lfr-n10000-mu1,8,Leiden,0.4025,0.7823,0.9835
lfr-n10000-mu1,9,Leiden-LPA-v8,1.1576,0.748,0.8929
lfr-n10000-mu1,9,Leiden,0.4583,0.7823,0.9844
lfr-n10000-mu3,0,Leiden-LPA-v8,0.835,0.5137,0.6221
lfr-n10000-mu3,0,Leiden,0.4611,0.6074,0.8944
lfr-n10000-mu3,1,Leiden-LPA-v8,0.9806,0.5124,0.6178
lfr-n10000-mu3,1,Leiden,0.4679,0.6081,0.9061
lfr-n10000-mu3,2,Leiden-LPA-v8,0.836,0.515,0.6221
lfr-n10000-mu3,2,Leiden,0.4652,0.6085,0.9067
lfr-n10000-mu3,3,Leiden-LPA-v8,0.7631,0.5146,0.6298
lfr-n10000-mu3,3,Leiden,0.4625,0.6081,0.9026
lfr-n10000-mu3,4,Leiden-LPA-v8,0.8422,0.5143,0.6178
lfr-n10000-mu3,4,Leiden,0.4825,0.6082,0.8968
lfr-n10000-mu3,5,Leiden-LPA-v8,0.8371,0.5127,0.6133
lfr-n10000-mu3,5,Leiden,0.4466,0.6082,0.9043
lfr-n10000-mu3,6,Leiden-LPA-v8,0.8397,0.5143,0.6192
lfr-n10000-mu3,6,Leiden,0.4628,0.6084,0.9051
lfr-n10000-mu3,7,Leiden-LPA-v8,0.8779,0.5171,0.6402
lfr-n10000-mu3,7,Leiden,0.4573,0.6081,0.9038
lfr-n10000-mu3,8,Leiden-LPA-v8,0.9702,0.5145,0.6285
lfr-n10000-mu3,8,Leiden,0.4812,0.6083,0.9077
lfr-n10000-mu3,9,Leiden-LPA-v8,3.3543,0.515,0.6305
lfr-n10000-mu3,9,Leiden,0.4955,0.6082,0.9012
