Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v5,0.059,0.7257,0.8702
lfr-n1000-mu1,0,Leiden,0.0294,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v5,0.015,0.7257,0.8702
lfr-n1000-mu1,1,Leiden,0.0292,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v5,0.0146,0.7257,0.8702
lfr-n1000-mu1,2,Leiden,0.0282,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v5,0.0151,0.7257,0.8702
lfr-n1000-mu1,3,Leiden,0.0309,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v5,0.0147,0.7257,0.8702
lfr-n1000-mu1,4,Leiden,0.0296,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v5,0.015,0.7257,0.8702
lfr-n1000-mu1,5,Leiden,0.0293,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v5,0.0143,0.7257,0.8702
lfr-n1000-mu1,6,Leiden,0.0295,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v5,0.0145,0.7257,0.8702
lfr-n1000-mu1,7,Leiden,0.0293,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v5,0.0142,0.7257,0.8702
lfr-n1000-mu1,8,Leiden,0.0296,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v5,0.0144,0.7257,0.8702
lfr-n1000-mu1,9,Leiden,0.0292,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v5,0.0188,0.4493,0.5436
lfr-n1000-mu3,0,Leiden,0.0354,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v5,0.0142,0.4718,0.5876
lfr-n1000-mu3,1,Leiden,0.035,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v5,0.0138,0.4586,0.5471
lfr-n1000-mu3,2,Leiden,0.0357,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v5,0.0142,0.455,0.5462
lfr-n1000-mu3,3,Leiden,0.0355,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v5,0.0139,0.4627,0.5584
lfr-n1000-mu3,4,Leiden,0.0351,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v5,0.0147,0.4586,0.5595
lfr-n1000-mu3,5,Leiden,0.0347,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v5,0.0142,0.4652,0.5508
lfr-n1000-mu3,6,Leiden,0.0352,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v5,0.014,0.4607,0.5622
lfr-n1000-mu3,7,Leiden,0.0343,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v5,0.0144,0.4623,0.5526
lfr-n1000-mu3,8,Leiden,0.0343,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v5,0.0138,0.4473,0.534
lfr-n1000-mu3,9,Leiden,0.0343,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-v5,0.0206,0.2612,0.3063
lfr-n1000-mu5,0,Leiden,0.0488,0.3352,0.4069
lfr-n1000-mu5,1,Leiden-LPA-v5,0.0201,0.2566,0.3081
lfr-n1000-mu5,1,Leiden,0.0525,0.3282,0.3919
lfr-n1000-mu5,2,Leiden-LPA-v5,0.0198,0.26,0.3145
lfr-n1000-mu5,2,Leiden,0.0494,0.3271,0.3818
lfr-n1000-mu5,3,Leiden-LPA-v5,0.0196,0.2644,0.2847
lfr-n1000-mu5,3,Leiden,0.0518,0.332,0.4106
lfr-n1000-mu5,4,Leiden-LPA-v5,0.0183,0.2615,0.2777
lfr-n1000-mu5,4,Leiden,0.0497,0.3278,0.3838
lfr-n1000-mu5,5,Leiden-LPA-v5,0.0204,0.2591,0.3098
lfr-n1000-mu5,5,Leiden,0.0496,0.3292,0.3841
lfr-n1000-mu5,6,Leiden-LPA-v5,0.0188,0.2536,0.2858
lfr-n1000-mu5,6,Leiden,0.0563,0.3248,0.3743
lfr-n1000-mu5,7,Leiden-LPA-v5,0.0184,0.2486,0.2596
lfr-n1000-mu5,7,Leiden,0.0499,0.3343,0.4077
lfr-n1000-mu5,8,Leiden-LPA-v5,0.0227,0.2611,0.2954
lfr-n1000-mu5,8,Leiden,0.0558,0.318,0.3224
lfr-n1000-mu5,9,Leiden-LPA-v5,0.0194,0.2575,0.2732
lfr-n1000-mu5,9,Leiden,0.0526,0.3334,0.3696
lfr-n10000-mu1,0,Leiden-LPA-v5,0.2035,0.7548,0.9019
lfr-n10000-mu1,0,Leiden,0.4525,0.7823,0.9852
lfr-n10000-mu1,1,Leiden-LPA-v5,0.1903,0.755,0.9022
lfr-n10000-mu1,1,Leiden,0.4637,0.7823,0.985
lfr-n10000-mu1,2,Leiden-LPA-v5,0.1907,0.7548,0.9015
lfr-n10000-mu1,2,Leiden,0.526,0.7823,0.9841
lfr-n10000-mu1,3,Leiden-LPA-v5,0.2268,0.755,0.902
lfr-n10000-mu1,3,Leiden,0.4542,0.7823,0.9842
lfr-n10000-mu1,4,Leiden-LPA-v5,0.2069,0.7545,0.9001
lfr-n10000-mu1,4,Leiden,0.4665,0.7823,0.9866
lfr-n10000-mu1,5,Leiden-LPA-v5,0.1965,0.755,0.9021
lfr-n10000-mu1,5,Leiden,0.4629,0.7823,0.9844
lfr-n10000-mu1,6,Leiden-LPA-v5,0.2473,0.7544,0.9004
lfr-n10000-mu1,6,Leiden,0.4676,0.7823,0.9854
lfr-n10000-mu1,7,Leiden-LPA-v5,0.1956,0.755,0.902
lfr-n10000-mu1,7,Leiden,0.4631,0.7823,0.9853
lfr-n10000-mu1,8,Leiden-LPA-v5,0.1935,0.755,0.9038
lfr-n10000-mu1,8,Leiden,0.4614,0.7823,0.9835
lfr-n10000-mu1,9,Leiden-LPA-v5,0.1944,0.7542,0.8965
lfr-n10000-mu1,9,Leiden,0.48,0.7823,0.9844
lfr-n10000-mu3,0,Leiden-LPA-v5,0.2016,0.5149,0.6319
lfr-n10000-mu3,0,Leiden,0.5243,0.6074,0.8944
lfr-n10000-mu3,1,Leiden-LPA-v5,0.2034,0.5148,0.6336
