Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,0,Leiden-LPA-v4,0.058,0.7237,0.875
lfr-n1000-mu1,0,Leiden,0.026,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-v4,0.0168,0.7237,0.875
lfr-n1000-mu1,1,Leiden,0.025,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-v4,0.0168,0.7237,0.875
lfr-n1000-mu1,2,Leiden,0.0246,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-v4,0.0166,0.7237,0.875
lfr-n1000-mu1,3,Leiden,0.0271,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-v4,0.0168,0.7237,0.875
lfr-n1000-mu1,4,Leiden,0.0252,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-v4,0.0171,0.7237,0.875
lfr-n1000-mu1,5,Leiden,0.0256,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-v4,0.0167,0.7237,0.875
lfr-n1000-mu1,6,Leiden,0.0256,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-v4,0.0166,0.7237,0.875
lfr-n1000-mu1,7,Leiden,0.0254,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-v4,0.0165,0.7237,0.875
lfr-n1000-mu1,8,Leiden,0.0253,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-v4,0.0162,0.7237,0.875
lfr-n1000-mu1,9,Leiden,0.0253,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-v4,0.0273,0.4958,0.6448
lfr-n1000-mu3,0,Leiden,0.0316,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-v4,0.0157,0.5004,0.6611
lfr-n1000-mu3,1,Leiden,0.0305,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-v4,0.0154,0.499,0.6389
lfr-n1000-mu3,2,Leiden,0.0318,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-v4,0.0165,0.5057,0.6576
lfr-n1000-mu3,3,Leiden,0.0296,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-v4,0.0163,0.5062,0.657
lfr-n1000-mu3,4,Leiden,0.0304,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-v4,0.0183,0.5066,0.6644
lfr-n1000-mu3,5,Leiden,0.0308,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-v4,0.016,0.4909,0.6266
lfr-n1000-mu3,6,Leiden,0.0302,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-v4,0.0157,0.5009,0.6531
lfr-n1000-mu3,7,Leiden,0.0297,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-v4,0.0151,0.497,0.6393
lfr-n1000-mu3,8,Leiden,0.0302,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-v4,0.0153,0.4869,0.611
lfr-n1000-mu3,9,Leiden,0.0292,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-v4,0.0264,0.235,0.2643
lfr-n1000-mu5,0,Leiden,0.0411,0.3352,0.4069
lfr-n1000-mu5,1,Leiden-LPA-v4,0.0217,0.2742,0.2782
lfr-n1000-mu5,1,Leiden,0.0464,0.3282,0.3919
lfr-n1000-mu5,2,Leiden-LPA-v4,0.0201,0.281,0.2915
lfr-n1000-mu5,2,Leiden,0.0428,0.3271,0.3818
lfr-n1000-mu5,3,Leiden-LPA-v4,0.0273,0.1608,0.2326
lfr-n1000-mu5,3,Leiden,0.0443,0.332,0.4106
lfr-n1000-mu5,4,Leiden-LPA-v4,0.0199,0.2769,0.2709
lfr-n1000-mu5,4,Leiden,0.0426,0.3278,0.3838
lfr-n1000-mu5,5,Leiden-LPA-v4,0.0257,0.1366,0.2183
lfr-n1000-mu5,5,Leiden,0.0426,0.3292,0.3841
lfr-n1000-mu5,6,Leiden-LPA-v4,0.0213,0.2738,0.287
lfr-n1000-mu5,6,Leiden,0.0474,0.3248,0.3743
lfr-n1000-mu5,7,Leiden-LPA-v4,0.0198,0.2889,0.2488
lfr-n1000-mu5,7,Leiden,0.043,0.3343,0.4077
lfr-n1000-mu5,8,Leiden-LPA-v4,0.0228,0.2905,0.2384
lfr-n1000-mu5,8,Leiden,0.0471,0.318,0.3224
lfr-n1000-mu5,9,Leiden-LPA-v4,0.0236,0.2802,0.2714
lfr-n1000-mu5,9,Leiden,0.0454,0.3334,0.3696
lfr-n10000-mu1,0,Leiden-LPA-v4,0.2073,0.7759,0.945
lfr-n10000-mu1,0,Leiden,0.4047,0.7823,0.9852
lfr-n10000-mu1,1,Leiden-LPA-v4,0.2279,0.7759,0.9469
lfr-n10000-mu1,1,Leiden,0.4211,0.7823,0.985
lfr-n10000-mu1,2,Leiden-LPA-v4,0.2057,0.7758,0.9443
lfr-n10000-mu1,2,Leiden,0.4067,0.7823,0.9841
lfr-n10000-mu1,3,Leiden-LPA-v4,0.2035,0.7758,0.9443
lfr-n10000-mu1,3,Leiden,0.4246,0.7823,0.9842
lfr-n10000-mu1,4,Leiden-LPA-v4,0.2154,0.7754,0.9437
lfr-n10000-mu1,4,Leiden,0.4327,0.7823,0.9866
lfr-n10000-mu1,5,Leiden-LPA-v4,0.2167,0.7756,0.9439
lfr-n10000-mu1,5,Leiden,0.4344,0.7823,0.9844
lfr-n10000-mu1,6,Leiden-LPA-v4,0.2143,0.7756,0.9441
lfr-n10000-mu1,6,Leiden,0.4158,0.7823,0.9854
lfr-n10000-mu1,7,Leiden-LPA-v4,0.2616,0.7754,0.9441
lfr-n10000-mu1,7,Leiden,0.4129,0.7823,0.9853
lfr-n10000-mu1,8,Leiden-LPA-v4,0.2213,0.7754,0.9454
