Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.5,0.0216,0.7491,0.9269
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.6,0.0246,0.753,0.9448
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.6,0.0239,0.7522,0.9417
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.6,0.0239,0.7518,0.9423
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.6,0.0241,0.7522,0.9417
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.6,0.0239,0.753,0.9448
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.6,0.0228,0.753,0.9448
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.6,0.0233,0.753,0.9448
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.6,0.0602,0.7522,0.9417
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.6,0.0235,0.753,0.9448
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.6,0.0243,0.753,0.9448
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.7,0.0271,0.7556,0.9553
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.7,0.0279,0.7553,0.9542
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.7,0.0282,0.7555,0.9533
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.7,0.029,0.7555,0.9533
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.7,0.0276,0.7555,0.9533
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.7,0.0271,0.7555,0.9533
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.7,0.0269,0.7553,0.9542
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.7,0.0272,0.7555,0.9551
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.7,0.0272,0.7553,0.9542
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.7,0.0281,0.7555,0.9533
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.8,0.0316,0.7561,0.9597
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.8,0.0321,0.7566,0.9649
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.8,0.0327,0.7567,0.9664
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.8,0.0317,0.7566,0.9649
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.8,0.033,0.7567,0.9664
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.8,0.0328,0.7561,0.9597
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.8,0.0317,0.7555,0.9563
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.8,0.0319,0.7567,0.9664
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.8,0.0397,0.7559,0.9577
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.8,0.0311,0.7566,0.9649
lfr-n1000-mu1,0,Leiden-LPA-coreratio_0.9,0.0371,0.7582,0.9703
lfr-n1000-mu1,1,Leiden-LPA-coreratio_0.9,0.0389,0.7584,0.9661
lfr-n1000-mu1,2,Leiden-LPA-coreratio_0.9,0.0806,0.7584,0.9661
lfr-n1000-mu1,3,Leiden-LPA-coreratio_0.9,0.0354,0.7578,0.9615
lfr-n1000-mu1,4,Leiden-LPA-coreratio_0.9,0.0369,0.7578,0.9615
lfr-n1000-mu1,5,Leiden-LPA-coreratio_0.9,0.0352,0.7584,0.9651
lfr-n1000-mu1,6,Leiden-LPA-coreratio_0.9,0.036,0.7578,0.9615
lfr-n1000-mu1,7,Leiden-LPA-coreratio_0.9,0.0353,0.7584,0.9661
lfr-n1000-mu1,8,Leiden-LPA-coreratio_0.9,0.0353,0.7584,0.9661
lfr-n1000-mu1,9,Leiden-LPA-coreratio_0.9,0.0362,0.7579,0.9645
lfr-n1000-mu1,0,Leiden-LPA-coreratio_1.0,0.0262,0.7586,0.9716
lfr-n1000-mu1,1,Leiden-LPA-coreratio_1.0,0.0254,0.7586,0.9726
lfr-n1000-mu1,2,Leiden-LPA-coreratio_1.0,0.0253,0.7586,0.9716
lfr-n1000-mu1,3,Leiden-LPA-coreratio_1.0,0.027,0.7586,0.9716
lfr-n1000-mu1,4,Leiden-LPA-coreratio_1.0,0.0253,0.7586,0.9716
lfr-n1000-mu1,5,Leiden-LPA-coreratio_1.0,0.0255,0.7586,0.9716
lfr-n1000-mu1,6,Leiden-LPA-coreratio_1.0,0.0254,0.7586,0.9716
lfr-n1000-mu1,7,Leiden-LPA-coreratio_1.0,0.0256,0.7586,0.9726
lfr-n1000-mu1,8,Leiden-LPA-coreratio_1.0,0.0267,0.7586,0.9716
lfr-n1000-mu1,9,Leiden-LPA-coreratio_1.0,0.0265,0.7586,0.9726
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.0,0.0178,0.4797,0.7129
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.0,0.0171,0.4797,0.7129
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.0,0.0173,0.4797,0.7129
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.0,0.0173,0.4797,0.7129
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.0,0.0173,0.4797,0.7129
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.0,0.0176,0.4797,0.7129
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.0,0.0179,0.4797,0.7129
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.0,0.0186,0.4797,0.7129
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.0,0.0194,0.4797,0.7129
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.0,0.0176,0.4797,0.7129
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.1,0.0072,0.4391,0.4958
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.1,0.0075,0.4587,0.5618
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.1,0.0073,0.4458,0.5302
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.1,0.007,0.4387,0.4923
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.1,0.0074,0.4576,0.5607
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.1,0.0071,0.446,0.5324
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.1,0.0068,0.4458,0.5302
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.1,0.0068,0.4458,0.5302
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.1,0.0074,0.442,0.5202
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.1,0.0072,0.4458,0.5302
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.2,0.0097,0.4602,0.5584
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.2,0.0097,0.4808,0.5865
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.2,0.0098,0.4639,0.5525
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.2,0.0097,0.4753,0.5832
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.2,0.0101,0.4674,0.5587
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.2,0.01,0.4665,0.5663
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.2,0.0101,0.4708,0.5697
