Graph,Algorithm,Time (s),Modularity,NMI
com-dblp,Leiden,75.8132 (±1.6871),0.8311 (±0.0013),0.4146 (±0.0016)
com-dblp,Leiden-LPA,21.4224 (±0.9465),0.8227 (±0.0011),0.3979 (±0.0019)
com-youtube,Leiden,1308.1628 (±48.5887),0.7299 (±0.0024),0.4613 (±0.0038)
com-youtube,Leiden-LPA,376.6672 (±38.0564),0.7166 (±0.0039),0.4236 (±0.0033)
email-Eu-core,Leiden,0.0568 (±0.0047),0.4328 (±0.0008),0.5892 (±0.0145)
email-Eu-core,Leiden-LPA,0.0583 (±0.0042),0.4220 (±0.0011),0.4925 (±0.0015)
karate,Leiden,0.0008 (±0.0002),0.4198 (±0.0000),0.5878 (±0.0000)
karate,Leiden-LPA,0.0012 (±0.0001),0.3807 (±0.0000),0.5866 (±0.0000)
